case,best_area,best_delay,best_adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,notes
ex266,124,18,2232,848,2.632075,0,0,ex266_udiv_radix4_shift_subtract_narrow_synth_preset,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=synth_preset
ex267,198,27,5346,2651,2.016598,0,0,ex267_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=wreduce_abc_g_aig
ex269,375,45,16875,11760,1.434949,1,0,ex269_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=wreduce_abc_g_aig
