case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_shift_subtract_narrow_abc_g_aig,unsigned low5_high5:a/b dbz=max,shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_shift_subtract_narrow_abc_g_aig.aig,1,1,1,89,28,2492,848,2.938679,0,0,0.248,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_narrow; flow=abc_g_aig
ex266,ex266_udiv_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,89,28,2492,848,2.938679,0,0,0.247,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_narrow; flow=wreduce_abc_g_aig
ex266,ex266_udiv_shift_subtract_narrow_synth_preset,unsigned low5_high5:a/b dbz=max,shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_shift_subtract_narrow_synth_preset.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.315,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_narrow; flow=synth_preset
ex266,ex266_udiv_radix4_shift_subtract_narrow_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_radix4_shift_subtract_narrow_abc_g_aig.aig,1,1,1,121,19,2299,848,2.711085,0,0,0.310,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,121,19,2299,848,2.711085,0,0,0.278,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_shift_subtract_narrow_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_radix4_shift_subtract_narrow_synth_preset.aig,1,1,1,124,18,2232,848,2.632075,0,0,0.395,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=synth_preset
ex266,ex266_udiv_radix8_shift_subtract_narrow_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_radix8_shift_subtract_narrow_abc_g_aig.aig,1,1,1,173,19,3287,848,3.876179,0,0,0.310,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_radix8_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,171,16,2736,848,3.226415,0,0,0.346,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix8_shift_subtract_narrow_synth_preset,unsigned low5_high5:a/b dbz=max,radix8_shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_radix8_shift_subtract_narrow_synth_preset.aig,1,1,1,173,16,2768,848,3.264151,0,0,0.388,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=synth_preset
ex267,ex267_udiv_shift_subtract_narrow_abc_g_aig,unsigned low6_high6:a/b dbz=max,shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_shift_subtract_narrow_abc_g_aig.aig,1,1,1,137,42,5754,2651,2.170502,0,0,0.300,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_narrow; flow=abc_g_aig
ex267,ex267_udiv_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,137,42,5754,2651,2.170502,0,0,0.280,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_narrow; flow=wreduce_abc_g_aig
