case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex266,ex266_udiv_radix4_shift_subtract_narrow_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_radix4_shift_subtract_narrow_synth_preset.aig,124,18,2232,848,2.632075,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=synth_preset
ex267,ex267_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig.aig,198,27,5346,2651,2.016598,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig.aig,375,45,16875,11760,1.434949,1,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=wreduce_abc_g_aig
