case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_wide_signed_abc_g_aig,signed low4_high4:a*b,wide_signed+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_wide_signed_abc_g_aig.aig,1,1,1,151,18,2718,657,4.136986,0,0,0.225,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=abc_g_aig
ex260,ex260_smul_wide_signed_wreduce_abc_g_aig,signed low4_high4:a*b,wide_signed+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_wide_signed_wreduce_abc_g_aig.aig,1,1,1,116,20,2320,657,3.531202,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_wide_signed_synth_preset_d9,signed low4_high4:a*b,wide_signed+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_wide_signed_synth_preset_d9.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.262,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=synth_preset_d9
ex260,ex260_smul_wide_signed_synth_preset_d13,signed low4_high4:a*b,wide_signed+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_wide_signed_synth_preset_d13.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.257,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=synth_preset_d13
ex260,ex260_smul_wide_signed_synth_preset_d18,signed low4_high4:a*b,wide_signed+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_wide_signed_synth_preset_d18.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.281,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=synth_preset_d18
ex260,ex260_smul_wide_signed_abc_g_aig_d13,signed low4_high4:a*b,wide_signed+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_wide_signed_abc_g_aig_d13.aig,1,1,1,151,18,2718,657,4.136986,0,0,0.223,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=abc_g_aig_d13
ex260,ex260_smul_booth_radix4_signed_abc_g_aig,signed low4_high4:a*b,booth_radix4_signed+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_booth_radix4_signed_abc_g_aig.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.225,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_signed_wreduce_abc_g_aig,signed low4_high4:a*b,booth_radix4_signed+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_booth_radix4_signed_wreduce_abc_g_aig.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.224,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_signed_synth_preset_d9,signed low4_high4:a*b,booth_radix4_signed+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_booth_radix4_signed_synth_preset_d9.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.282,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_signed_synth_preset_d13,signed low4_high4:a*b,booth_radix4_signed+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_booth_radix4_signed_synth_preset_d13.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.285,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_signed_synth_preset_d18,signed low4_high4:a*b,booth_radix4_signed+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_booth_radix4_signed_synth_preset_d18.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.283,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=synth_preset_d18
ex260,ex260_smul_booth_radix4_signed_abc_g_aig_d13,signed low4_high4:a*b,booth_radix4_signed+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_booth_radix4_signed_abc_g_aig_d13.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.226,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=abc_g_aig_d13
ex260,ex260_smul_direct_signed_abc_g_aig,signed low4_high4:a*b,direct_signed+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_direct_signed_abc_g_aig.aig,1,1,1,116,20,2320,657,3.531202,0,0,0.200,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig
ex260,ex260_smul_direct_signed_wreduce_abc_g_aig,signed low4_high4:a*b,direct_signed+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_direct_signed_wreduce_abc_g_aig.aig,1,1,1,116,20,2320,657,3.531202,0,0,0.201,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex260,ex260_smul_direct_signed_synth_preset_d9,signed low4_high4:a*b,direct_signed+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_direct_signed_synth_preset_d9.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.256,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d9
ex260,ex260_smul_direct_signed_synth_preset_d13,signed low4_high4:a*b,direct_signed+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_direct_signed_synth_preset_d13.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.258,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d13
ex260,ex260_smul_direct_signed_synth_preset_d18,signed low4_high4:a*b,direct_signed+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_direct_signed_synth_preset_d18.aig,1,1,1,114,20,2280,657,3.470320,0,0,0.260,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=synth_preset_d18
ex260,ex260_smul_direct_signed_abc_g_aig_d13,signed low4_high4:a*b,direct_signed+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_direct_signed_abc_g_aig_d13.aig,1,1,1,116,20,2320,657,3.531202,0,0,0.203,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig_d13
ex260,ex260_smul_abs_sign_wallace_abc_g_aig,signed low4_high4:a*b,abs_sign_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_abs_sign_wallace.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_abs_sign_wallace_abc_g_aig.aig,1,1,1,104,18,1872,657,2.849315,0,0,0.245,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=abc_g_aig
ex260,ex260_smul_abs_sign_wallace_wreduce_abc_g_aig,signed low4_high4:a*b,abs_sign_wallace+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_abs_sign_wallace.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_abs_sign_wallace_wreduce_abc_g_aig.aig,1,1,1,104,18,1872,657,2.849315,0,0,0.250,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_abs_sign_wallace_synth_preset_d9,signed low4_high4:a*b,abs_sign_wallace+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_abs_sign_wallace.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_abs_sign_wallace_synth_preset_d9.aig,1,1,1,104,18,1872,657,2.849315,0,0,0.343,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=synth_preset_d9
