case,domain,agent_id,candidate_id,simulation_pass,log_path,notes
ex247,float_fp8,local-diverse-r32,ex247_r32_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex247,float_fp8,local-diverse-r32,ex247_r32_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex246,float_fp8,local-diverse-r32,ex246_r32_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex240,float_fp8,local-diverse-r32,ex240_r32_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_choice_if4_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_compress_l_no_dc_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex244,float_fp8,local-diverse-r32,ex244_r32_resub_deep_rf_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-diverse-r32,ex249_r32_resyn2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-diverse-r32,ex249_r32_compress2rs_area_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-diverse-r32,ex249_r32_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-diverse-r32,ex249_r32_mfs_rwz_mfs_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-diverse-r32,ex249_r32_ssw_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-diverse-r32,ex249_r32_fraig_mfs_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
ex249,float_fp8,local-diverse-r32,ex249_r32_dchoice_dc2_from_frontend_best,not_run,,AIG-preserving ABC remap; official evaluate.py is final
