case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex281,ex281_unknown_bdd_key_bit_reverse_interleave,unknown_transformed_key_bdd,bit_reverse_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/verilog/ex281_unknown_bdd_key_bit_reverse_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/aigs/ex281_unknown_bdd_key_bit_reverse_interleave.aig,1,1,1,1351,23,31073,2336,13.301798,0,0,structural_exact,transform=bit_reverse; order_name=interleave; order=0:12:1:11:2:10:3:9:4:8:5:7:6; bdd_nodes=769; hash=b9df8af841d9,1.517,unknown transformed-key shared-BDD Verilog seed,1,31073,0,
ex281,ex281_unknown_bdd_key_bit_reverse_natural,unknown_transformed_key_bdd,bit_reverse_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/verilog/ex281_unknown_bdd_key_bit_reverse_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/aigs/ex281_unknown_bdd_key_bit_reverse_natural.aig,1,1,1,5309,24,127416,2336,54.544521,0,0,structural_exact,transform=bit_reverse; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12; bdd_nodes=2659; hash=d4ee3753a2e6,2.620,unknown transformed-key shared-BDD Verilog seed,1,127416,0,
ex281,ex281_unknown_bdd_key_gray_interleave,unknown_transformed_key_bdd,gray_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/verilog/ex281_unknown_bdd_key_gray_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/aigs/ex281_unknown_bdd_key_gray_interleave.aig,1,1,1,3397,26,88322,2336,37.809075,0,0,structural_exact,transform=gray; order_name=interleave; order=0:12:1:11:2:10:3:9:4:8:5:7:6; bdd_nodes=1428; hash=af768d0199e8,2.545,unknown transformed-key shared-BDD Verilog seed,1,88322,0,
ex281,ex281_unknown_bdd_key_gray_natural,unknown_transformed_key_bdd,gray_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/verilog/ex281_unknown_bdd_key_gray_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/aigs/ex281_unknown_bdd_key_gray_natural.aig,1,1,1,5725,23,131675,2336,56.367723,0,0,structural_exact,transform=gray; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12; bdd_nodes=2946; hash=6e98e1043e5d,2.883,unknown transformed-key shared-BDD Verilog seed,1,131675,0,
ex281,ex281_unknown_bdd_key_ungray_interleave,unknown_transformed_key_bdd,ungray_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/verilog/ex281_unknown_bdd_key_ungray_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/aigs/ex281_unknown_bdd_key_ungray_interleave.aig,1,1,1,1672,35,58520,2336,25.051370,0,0,structural_exact,transform=ungray; order_name=interleave; order=0:12:1:11:2:10:3:9:4:8:5:7:6; bdd_nodes=1081; hash=9aa34061c642,1.580,unknown transformed-key shared-BDD Verilog seed,1,58520,0,
ex281,ex281_unknown_bdd_key_ungray_natural,unknown_transformed_key_bdd,ungray_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/verilog/ex281_unknown_bdd_key_ungray_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex281/aigs/ex281_unknown_bdd_key_ungray_natural.aig,1,1,1,5660,30,169800,2336,72.688356,0,0,structural_exact,transform=ungray; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12; bdd_nodes=3301; hash=df59eedcd45e,2.930,unknown transformed-key shared-BDD Verilog seed,1,169800,0,
ex282,ex282_unknown_bdd_key_bit_reverse_interleave,unknown_transformed_key_bdd,bit_reverse_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/verilog/ex282_unknown_bdd_key_bit_reverse_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/aigs/ex282_unknown_bdd_key_bit_reverse_interleave.aig,1,1,1,1592,25,39800,2704,14.718935,0,0,structural_exact,transform=bit_reverse; order_name=interleave; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=905; hash=f4e930b029c5,2.633,unknown transformed-key shared-BDD Verilog seed,1,39800,0,
ex282,ex282_unknown_bdd_key_bit_reverse_natural,unknown_transformed_key_bdd,bit_reverse_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/verilog/ex282_unknown_bdd_key_bit_reverse_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/aigs/ex282_unknown_bdd_key_bit_reverse_natural.aig,1,1,1,7599,25,189975,2704,70.257027,0,0,structural_exact,transform=bit_reverse; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13; bdd_nodes=3685; hash=9a6af8575dd6,4.375,unknown transformed-key shared-BDD Verilog seed,1,189975,0,
ex282,ex282_unknown_bdd_key_gray_interleave,unknown_transformed_key_bdd,gray_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/verilog/ex282_unknown_bdd_key_gray_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/aigs/ex282_unknown_bdd_key_gray_interleave.aig,1,1,1,4073,29,118117,2704,43.682322,0,0,structural_exact,transform=gray; order_name=interleave; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=1582; hash=aa075704e26f,3.481,unknown transformed-key shared-BDD Verilog seed,1,118117,0,
ex282,ex282_unknown_bdd_key_gray_natural,unknown_transformed_key_bdd,gray_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/verilog/ex282_unknown_bdd_key_gray_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/aigs/ex282_unknown_bdd_key_gray_natural.aig,1,1,1,7951,24,190824,2704,70.571006,0,0,structural_exact,transform=gray; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13; bdd_nodes=4164; hash=354d3ea8d757,4.919,unknown transformed-key shared-BDD Verilog seed,1,190824,0,
ex282,ex282_unknown_bdd_key_ungray_interleave,unknown_transformed_key_bdd,ungray_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/verilog/ex282_unknown_bdd_key_ungray_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/aigs/ex282_unknown_bdd_key_ungray_interleave.aig,1,1,1,2025,37,74925,2704,27.708950,0,0,structural_exact,transform=ungray; order_name=interleave; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=1299; hash=a21d4bc51556,2.784,unknown transformed-key shared-BDD Verilog seed,1,74925,0,
ex282,ex282_unknown_bdd_key_ungray_natural,unknown_transformed_key_bdd,ungray_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/verilog/ex282_unknown_bdd_key_ungray_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex282/aigs/ex282_unknown_bdd_key_ungray_natural.aig,1,1,1,8542,30,256260,2704,94.770710,0,0,structural_exact,transform=ungray; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13; bdd_nodes=4752; hash=c822d3f0de9d,5.572,unknown transformed-key shared-BDD Verilog seed,1,256260,0,
ex283,ex283_unknown_bdd_key_bit_reverse_interleave,unknown_transformed_key_bdd,bit_reverse_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/verilog/ex283_unknown_bdd_key_bit_reverse_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/aigs/ex283_unknown_bdd_key_bit_reverse_interleave.aig,1,1,1,1847,27,49869,3168,15.741477,0,0,structural_exact,transform=bit_reverse; order_name=interleave; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7; bdd_nodes=1041; hash=d749410a34a5,5.375,unknown transformed-key shared-BDD Verilog seed,1,49869,0,
ex283,ex283_unknown_bdd_key_bit_reverse_natural,unknown_transformed_key_bdd,bit_reverse_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/verilog/ex283_unknown_bdd_key_bit_reverse_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/aigs/ex283_unknown_bdd_key_bit_reverse_natural.aig,1,1,1,11522,27,311094,3168,98.198864,0,0,structural_exact,transform=bit_reverse; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; bdd_nodes=5730; hash=15b482a74513,8.903,unknown transformed-key shared-BDD Verilog seed,1,311094,0,
ex283,ex283_unknown_bdd_key_gray_interleave,unknown_transformed_key_bdd,gray_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/verilog/ex283_unknown_bdd_key_gray_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/aigs/ex283_unknown_bdd_key_gray_interleave.aig,1,1,1,5130,30,153900,3168,48.579545,0,0,structural_exact,transform=gray; order_name=interleave; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7; bdd_nodes=2051; hash=9c16cd19fc0a,6.448,unknown transformed-key shared-BDD Verilog seed,1,153900,0,
ex283,ex283_unknown_bdd_key_gray_natural,unknown_transformed_key_bdd,gray_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/verilog/ex283_unknown_bdd_key_gray_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/aigs/ex283_unknown_bdd_key_gray_natural.aig,1,1,1,12194,26,317044,3168,100.077020,0,0,structural_exact,transform=gray; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; bdd_nodes=6394; hash=a382d1b66467,9.976,unknown transformed-key shared-BDD Verilog seed,1,317044,0,
ex283,ex283_unknown_bdd_key_ungray_interleave,unknown_transformed_key_bdd,ungray_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/verilog/ex283_unknown_bdd_key_ungray_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/aigs/ex283_unknown_bdd_key_ungray_interleave.aig,1,1,1,2394,40,95760,3168,30.227273,0,0,structural_exact,transform=ungray; order_name=interleave; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7; bdd_nodes=1510; hash=e9a9c93bfc32,10.201,unknown transformed-key shared-BDD Verilog seed,1,95760,0,
ex283,ex283_unknown_bdd_key_ungray_natural,unknown_transformed_key_bdd,ungray_natural,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/verilog/ex283_unknown_bdd_key_ungray_natural.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex283/aigs/ex283_unknown_bdd_key_ungray_natural.aig,1,1,1,12665,33,417945,3168,131.927083,0,0,structural_exact,transform=ungray; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; bdd_nodes=7251; hash=eea76f984da3,10.132,unknown transformed-key shared-BDD Verilog seed,1,417945,0,
ex284,ex284_unknown_bdd_key_bit_reverse_interleave,unknown_transformed_key_bdd,bit_reverse_interleave,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex284/verilog/ex284_unknown_bdd_key_bit_reverse_interleave.v,student/work/ex281_ex284_frontend_bdd_key_transform_20260608_1500/ex284/aigs/ex284_unknown_bdd_key_bit_reverse_interleave.aig,1,1,1,2103,29,60987,4240,14.383726,0,0,structural_exact,transform=bit_reverse; order_name=interleave; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8; bdd_nodes=1189; hash=b74e17739485,11.581,unknown transformed-key shared-BDD Verilog seed,1,60987,0,
