case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes,evaluate_py_ok,evaluate_py_adp,evaluate_py_returncode,evaluate_py_notes
ex223,ex223_fp16_log_hybrid_semantic_bit15,fp16_log,hybrid_semantic_bit15,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/verilog/ex223_fp16_log_hybrid_semantic_bit15.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex223/aigs/ex223_fp16_log_hybrid_semantic_bit15.aig,1,1,11258,23,258934,120549,2.147956,0,0,semantic_hybrid,semantic_hybrid FP16 selected-bit candidate; semantic_bits=15; table_items=31777; semantic_items=frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2,1,258934,0,
ex224,ex224_fp16_log2_hybrid_semantic_bit15,fp16_log2,hybrid_semantic_bit15,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex224/verilog/ex224_fp16_log2_hybrid_semantic_bit15.v,student/work/ex223_ex224_frontend_fp16_log_selected_20260606_2236/ex224/aigs/ex224_fp16_log2_hybrid_semantic_bit15.aig,1,1,6337,22,139414,64708,2.154509,0,0,semantic_hybrid,semantic_hybrid FP16 selected-bit candidate; semantic_bits=15; table_items=31777; semantic_items=frac_bits=18; mode=round; adjusted_q=24; failed_q=6; exceptions=6,1,139414,0,
