case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex268,ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig,1,760,19,14440,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex268,ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,760,19,14440,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex268,ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset,1,739,17,12563,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset
ex268,ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig,1,789,17,13413,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex268,ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,789,17,13413,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex268,ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,1,744,16,11904,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex268/aigs/ex268_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset
ex269,ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig,1,1710,20,34200,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex269,ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,1710,20,34200,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex269,ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset,1,1684,21,35364,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset
ex269,ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig,1,1711,20,34220,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex269,ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,1711,20,34220,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex269,ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,1,1663,20,33260,student/work/ex268_ex269_frontend_udiv_cofactor_transfer_smoke_20260609_1232/ex269/aigs/ex269_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset
