case,metric,candidate,sample_matches,sample_total,full_matches,full_total,bit_matches,bit_total,input_perm,output_perm,notes
ex286,complement_perm_duality,base:id|aff12_2,42,184,140,8192,77928,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,2:1:0:12:11:10:9:8:7:6:5:4:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1dff
ex286,complement_perm_duality,pinpair:id+ps1|aff12_2,42,184,140,8192,77928,106496,0:1:2:3:5:4:6:7:8:9:10:11:12,2:1:0:12:11:10:9:8:7:6:5:4:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1dff
ex286,complement_perm_duality,pinpair:id+ps2|aff12_2,42,184,140,8192,77928,106496,0:1:2:3:4:5:7:6:8:9:10:11:12,2:1:0:12:11:10:9:8:7:6:5:4:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1dff
ex286,complement_perm_duality,pinpair:id+ps3|aff12_2,42,184,140,8192,77928,106496,0:1:2:3:5:4:7:6:8:9:10:11:12,2:1:0:12:11:10:9:8:7:6:5:4:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1dff
ex286,complement_perm_duality,base:id|aff12_11,34,184,378,8192,70420,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,11:10:9:8:7:6:5:4:3:2:1:0:12,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1fdf
ex286,complement_perm_duality,pinpair:id+ps1|aff12_11,34,184,378,8192,70420,106496,0:1:2:3:5:4:6:7:8:9:10:11:12,11:10:9:8:7:6:5:4:3:2:1:0:12,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1fdf
ex286,complement_perm_duality,pinpair:id+ps2|aff12_11,34,184,378,8192,70420,106496,0:1:2:3:4:5:7:6:8:9:10:11:12,11:10:9:8:7:6:5:4:3:2:1:0:12,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1fdf
ex286,complement_perm_duality,pinpair:id+ps3|aff12_11,34,184,378,8192,70420,106496,0:1:2:3:5:4:7:6:8:9:10:11:12,11:10:9:8:7:6:5:4:3:2:1:0:12,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1fdf
ex286,complement_perm_duality,base:aff12_11|id,34,184,552,8192,58928,106496,11:10:9:8:7:6:5:4:3:2:1:0:12,0:1:2:3:4:5:6:7:8:9:10:11:12,full_first_mismatch=x=0x1;xp=0x17ff;got=0x1bff;pred=0x1fbf
ex286,complement_perm_duality,pinpair:aff12_11+ps1|id,34,184,552,8192,58928,106496,11:10:9:8:7:6:4:5:3:2:1:0:12,0:1:2:3:4:5:6:7:8:9:10:11:12,full_first_mismatch=x=0x1;xp=0x17ff;got=0x1bff;pred=0x1fbf
ex286,complement_perm_duality,pinpair:aff12_11+postps1|id,34,184,552,8192,58928,106496,11:10:9:8:6:7:5:4:3:2:1:0:12,0:1:2:3:4:5:6:7:8:9:10:11:12,full_first_mismatch=x=0x1;xp=0x17ff;got=0x1bff;pred=0x1fbf
ex286,complement_perm_duality,pinpair:aff12_11+ps3|id,34,184,552,8192,58928,106496,11:10:9:8:6:7:4:5:3:2:1:0:12,0:1:2:3:4:5:6:7:8:9:10:11:12,full_first_mismatch=x=0x1;xp=0x17ff;got=0x1bff;pred=0x1fbf
ex286,complement_perm_duality,qpair:id|aff12_2+ps2,29,184,83,8192,72376,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,2:1:0:12:11:10:9:8:6:7:5:4:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1dff
ex286,complement_perm_duality,qpair:id|aff12_2+postps2,29,184,83,8192,72376,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,2:1:0:12:11:10:8:9:7:6:5:4:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1eff
ex286,complement_perm_duality,qpair:id|aff12_2+ps1,27,184,75,8192,72010,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,2:1:0:12:11:10:9:8:7:6:4:5:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1dff
ex286,complement_perm_duality,qpair:id|aff12_2+postps1,27,184,75,8192,72010,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,2:1:0:12:10:11:9:8:7:6:5:4:3,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1dff
ex286,complement_perm_duality,qpair:id|aff12_11+ps1,26,184,134,8192,66952,106496,0:1:2:3:4:5:6:7:8:9:10:11:12,11:10:9:8:7:6:4:5:3:2:1:0:12,full_first_mismatch=x=0x1;xp=0x1ffe;got=0x1ffd;pred=0x1fef
