case,agent_id,candidate_id,verilog_path,aig_path,evaluate_log,equivalent,area,delay,adp,status,notes,domain,shard_csv,method_signature
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_sqmin_threshold_bins_default_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/verilog/ex244_r64_sqmin_threshold_bins.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/aigs/ex244_ex244_r64_sqmin_threshold_bins_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_default_raw.evaluate.py.log,1,410,37,15170,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_r64_sqmin_threshold_bins_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_default_raw.abc.log; synth_sec=1.453; abc_sec=0.000; eval_sec=0.502,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/verilog/ex244_r64_sqmin_threshold_bins.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/aigs/ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw.evaluate.py.log,1,412,38,15656,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_r64_sqmin_threshold_bins_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_extra_share_raw.abc.log; synth_sec=1.408; abc_sec=0.000; eval_sec=0.519,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/verilog/ex244_r64_sqmin_threshold_bins.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/aigs/ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw.evaluate.py.log,1,400,36,14400,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_r64_sqmin_threshold_bins_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_abc_g_aig_raw.abc.log; synth_sec=1.345; abc_sec=0.000; eval_sec=0.537,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/verilog/ex244_r64_sqmin_threshold_bins.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/aigs/ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw.evaluate.py.log,1,460,37,17020,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_r64_sqmin_threshold_bins_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_sqmin_threshold_bins/logs/ex244_ex244_r64_sqmin_threshold_bins_synth_preset_raw.abc.log; synth_sec=2.094; abc_sec=0.000; eval_sec=0.528,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_ratio_leadclass_table_default_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/verilog/ex244_r64_ratio_leadclass_table.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/aigs/ex244_ex244_r64_ratio_leadclass_table_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_default_raw.evaluate.py.log,0,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_r64_ratio_leadclass_table_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_default_raw.abc.log; synth_sec=1.659; abc_sec=0.000; eval_sec=0.477,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_ratio_leadclass_table_extra_share_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/verilog/ex244_r64_ratio_leadclass_table.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/aigs/ex244_ex244_r64_ratio_leadclass_table_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_extra_share_raw.evaluate.py.log,0,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_r64_ratio_leadclass_table_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_extra_share_raw.abc.log; synth_sec=1.721; abc_sec=0.000; eval_sec=0.474,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/verilog/ex244_r64_ratio_leadclass_table.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/aigs/ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw.evaluate.py.log,0,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_r64_ratio_leadclass_table_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_abc_g_aig_raw.abc.log; synth_sec=1.937; abc_sec=0.000; eval_sec=0.499,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/verilog/ex244_r64_ratio_leadclass_table.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/aigs/ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw.evaluate.py.log,0,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_r64_ratio_leadclass_table_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_ratio_leadclass_table/logs/ex244_ex244_r64_ratio_leadclass_table_synth_preset_raw.abc.log; synth_sec=2.046; abc_sec=0.000; eval_sec=0.475,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_siggap_threshold_control_default_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/verilog/ex244_r64_siggap_threshold_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/aigs/ex244_ex244_r64_siggap_threshold_control_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_default_raw.evaluate.py.log,1,1651,38,62738,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_r64_siggap_threshold_control_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_default_raw.abc.log; synth_sec=2.254; abc_sec=0.000; eval_sec=0.532,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_siggap_threshold_control_extra_share_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/verilog/ex244_r64_siggap_threshold_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/aigs/ex244_ex244_r64_siggap_threshold_control_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_extra_share_raw.evaluate.py.log,1,1653,38,62814,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_r64_siggap_threshold_control_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_extra_share_raw.abc.log; synth_sec=2.200; abc_sec=0.000; eval_sec=0.562,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
