case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev,unknown_muxcoord_anf,prefix_parity_reduce_deg2_hybrid_endpoint_rev,student/work/ex280_ex284_frontend_muxcoord_hybrid_20260609_0039/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev.v,student/work/ex280_ex284_frontend_muxcoord_hybrid_20260609_0039/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_endpoint_rev.aig,436,30,13080,transform=prefix_parity_reduce; hybrid_degree=2; coord_width=15; features=121; ok_bits=0:1:2:3:4:5:6:7:9; residual_bits=8:10:11; residual_order=endpoint_rev; inconsistent=0xd00; used_features=59; term_counts=1:3:5:7:9:11:13:19:0:24:0:0; residual_terms=114:92:76; hash=61199c6ba0e3,unknown mux-coordinate ANF hybrid Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node,unknown_muxcoord_anf,prefix_parity_reduce_deg2_hybrid_best_node,student/work/ex280_ex284_frontend_muxcoord_hybrid_20260609_0039/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node.v,student/work/ex280_ex284_frontend_muxcoord_hybrid_20260609_0039/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_deg2_hybrid_best_node.aig,518,41,21238,transform=prefix_parity_reduce; hybrid_degree=2; coord_width=19; features=191; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:13; residual_bits=12:14:15; residual_order=endpoint; inconsistent=0xd000; used_features=109; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:0:32:0:0; residual_terms=178:140:116; hash=049e6c374965,unknown mux-coordinate ANF hybrid Verilog seed
