case,kind,name,bit,terms,support,degree_dist
ex280,output,raw,0,11,0:1:2:3:9:11,2:1;3:4;4:6
ex280,output,raw,1,39,0:1:2:3:4:8:10:11,2:3;3:12;4:24
ex280,output,raw,2,91,0:1:2:3:4:5:7:9:10:11,2:5;3:24;4:62
ex280,output,raw,3,67,0:1:2:3:4:6:8:9:10:11,2:7;3:32;4:28
ex280,output,raw,4,95,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:10;3:24;4:60
ex280,output,raw,5,183,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:10;3:42;4:130
ex280,output,raw,6,235,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:12;3:44;4:177
ex280,output,raw,7,283,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:14;3:54;4:213
ex280,output,raw,8,375,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:16;3:68;4:289
ex280,output,raw,9,281,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:15;3:58;4:207
ex280,output,raw,10,253,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:7;3:41;4:204
ex280,output,raw,11,229,0:1:2:3:4:5:6:7:8:9:10:11,2:9;3:92;4:128
ex280,output,reverse_output,0,229,0:1:2:3:4:5:6:7:8:9:10:11,2:9;3:92;4:128
ex280,output,reverse_output,1,253,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:7;3:41;4:204
ex280,output,reverse_output,2,281,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:15;3:58;4:207
ex280,output,reverse_output,3,375,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:16;3:68;4:289
ex280,output,reverse_output,4,283,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:14;3:54;4:213
ex280,output,reverse_output,5,235,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:12;3:44;4:177
ex280,output,reverse_output,6,183,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:10;3:42;4:130
ex280,output,reverse_output,7,95,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:10;3:24;4:60
ex280,output,reverse_output,8,67,0:1:2:3:4:6:8:9:10:11,2:7;3:32;4:28
ex280,output,reverse_output,9,91,0:1:2:3:4:5:7:9:10:11,2:5;3:24;4:62
ex280,output,reverse_output,10,39,0:1:2:3:4:8:10:11,2:3;3:12;4:24
ex280,output,reverse_output,11,11,0:1:2:3:9:11,2:1;3:4;4:6
ex280,residual,rev_out_xor_5x,0,230,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:9;3:92;4:128
ex280,residual,rev_out_xor_5x,1,252,0:1:2:3:4:5:6:7:8:9:10:11,2:7;3:41;4:204
ex280,residual,rev_out_xor_5x,2,281,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:15;3:58;4:207
ex280,residual,rev_out_xor_5x,3,374,0:1:2:3:4:5:6:7:8:9:10:11,2:17;3:68;4:289
ex280,residual,rev_out_xor_5x,4,284,0:1:2:3:4:5:6:7:8:9:10:11,2:15;3:56;4:213
ex280,residual,rev_out_xor_5x,5,234,0:1:2:3:4:5:6:7:8:9:10:11,2:13;3:44;4:177
ex280,residual,rev_out_xor_5x,6,188,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:11;3:41;4:132;5:3
