case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex261,ex261_smul_baugh_wooley_wallace_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/verilog/ex261_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_wallace_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.275,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_rev_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.221,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rev+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.241,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_rev+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.293,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_rev+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/verilog/ex261_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.298,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_dadda_abc_g_aig,signed low8_high8:a*b,baugh_wooley_dadda+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_abc_g_aig.aig,1,1,1,482,41,19762,9724,2.032291,0,0,1.753,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_dadda+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,1,1,1,482,41,19762,9724,2.032291,0,0,1.767,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_dadda+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_synth_preset_d13.aig,1,1,1,482,41,19762,9724,2.032291,0,0,2.051,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_dadda_synth_preset_d18,signed low8_high8:a*b,baugh_wooley_dadda+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_dadda.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_synth_preset_d18.aig,1,1,1,482,41,19762,9724,2.032291,0,0,1.946,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_dadda_plus_abc_g_aig,signed low8_high8:a*b,baugh_wooley_dadda_plus+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_dadda_plus.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_plus_abc_g_aig.aig,1,1,1,481,36,17316,9724,1.780749,0,0,1.887,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_plus; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_plus_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_dadda_plus+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_dadda_plus.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_plus_wreduce_abc_g_aig.aig,1,1,1,481,36,17316,9724,1.780749,0,0,1.764,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_plus; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_plus_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_dadda_plus+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_dadda_plus.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_plus_synth_preset_d13.aig,1,1,1,481,35,16835,9724,1.731283,0,0,2.038,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_plus; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_dadda_plus_synth_preset_d18,signed low8_high8:a*b,baugh_wooley_dadda_plus+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_dadda_plus.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_plus_synth_preset_d18.aig,1,1,1,481,35,16835,9724,1.731283,0,0,2.743,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_plus; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_abc_g_aig.aig,1,1,1,496,31,15376,9724,1.581242,0,0,3.826,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/verilog/ex264_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,1,1,1,496,31,15376,9724,1.581242,0,0,2.649,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
