case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex264,ex264_smul_baugh_wooley_dadda_wreduce_abc_g_aig,1,482,41,19762,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_synth_preset_d13,1,482,41,19762,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_dadda_synth_preset_d18,1,482,41,19762,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_dadda_plus_abc_g_aig,1,481,36,17316,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_plus_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_plus; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_plus_wreduce_abc_g_aig,1,481,36,17316,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_plus_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_plus; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_dadda_plus_synth_preset_d13,1,481,35,16835,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_plus_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_plus; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_dadda_plus_synth_preset_d18,1,481,35,16835,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_dadda_plus_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_dadda_plus; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_abc_g_aig,1,496,31,15376,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_wreduce_abc_g_aig,1,496,31,15376,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_synth_preset_d13,1,490,30,14700,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_synth_preset_d18,1,490,30,14700,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_rev_abc_g_aig,1,492,30,14760,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,1,492,30,14760,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rev_synth_preset_d13,1,480,32,15360,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_rev_synth_preset_d18,1,480,32,15360,student/work/ex260_ex264_frontend_smul_baugh_dadda_fix_20260609_0308/ex264/aigs/ex264_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
