round,run_id,agent_id,case,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,estimated_shared_terms,notes,shard_csv,status,area,delay,adp,frontend_adp,current_adp,reference_adp,improves_frontend,beats_current,beats_reference,verilog_path,aig_path,eval_log,family,output_grouping,result_adp,outcome,method_signature,qor
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex225,ex225_r77_decode_keep_highbit_keep_abc_g_aig,fp16_log10,current_nested_low_boundary_with_selective_keep_on_decode_and_highbit_outputs,preserve only sign_exp mant active_pos_normal and high-bit run outputs,shared special decode plus positive-normal high-bit run tree outputs; dense low LUT not kept,current nested high-bit run trees plus one low residual LUT,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex225,ex225_r77_split_output_assigns_abc_g_aig,fp16_log10,current_nested_source_with_high_vs_low_output_grouped_assigns,separate high run-tree bundle from low residual LUT at output mux,shared special decode; output mux grouped around current low residual boundary,current nested high-bit run trees plus one low residual LUT,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex225,ex225_r77_posnorm_pred_helper_abc_g_aig,fp16_log10,current_nested_source_with_positive_normal_predicate_helper_module,module boundary only for high-fanout positive-normal predicate,shared sign_exp predicate feeds special-vs-normal boundary; residual LUT left unpreserved,current nested high-bit run trees plus one low residual LUT,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=38,max=4,const=26",student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex225,ex225_r77_frontendbest_decode_keep_abc_g_aig,fp16_log10,registry_frontend_best_source_with_selective_keep_on_decode_and_highbit_outputs,preserve only high-fanout decode wires and high-bit run outputs in current frontend-best source,current frontend-best source sharing preserved; dense residual table not kept,current nested high-bit run trees plus one low residual LUT,source-boundary variant around registry frontend-best source student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/verilog/ex225_log_sparse_residual_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex225,ex225_r77_frontendbest_split_output_assigns_abc_g_aig,fp16_log10,registry_frontend_best_source_with_high_vs_low_output_grouped_assigns,separate high run-tree bundle from low residual at final output mux,current frontend-best source sharing preserved with explicit high/low output boundary,current nested high-bit run trees plus one low residual LUT,source-boundary variant around registry frontend-best source student/work/ex200_ex299_frontend_refgap_round2_20260612_1512/unary-agent/ex225/verilog/ex225_log_sparse_residual_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex223,ex223_r77_decode_keep_highbit_keep_abc_g_aig,fp16_log,current_nested_low_boundary_with_selective_keep_on_decode_and_highbit_outputs,preserve only sign_exp mant active_pos_normal and high-bit run outputs,shared special decode plus positive-normal high-bit run tree outputs; dense low LUT not kept,current nested high-bit run trees plus one low residual LUT,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex223,ex223_r77_split_output_assigns_abc_g_aig,fp16_log,current_nested_source_with_high_vs_low_output_grouped_assigns,separate high run-tree bundle from low residual LUT at output mux,shared special decode; output mux grouped around current low residual boundary,current nested high-bit run trees plus one low residual LUT,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex223,ex223_r77_posnorm_pred_helper_abc_g_aig,fp16_log,current_nested_source_with_positive_normal_predicate_helper_module,module boundary only for high-fanout positive-normal predicate,shared sign_exp predicate feeds special-vs-normal boundary; residual LUT left unpreserved,current nested high-bit run trees plus one low residual LUT,"positive-normal exp-group high-bit run trees plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=11; nested_hi=5; nested_lo=5; low_items=30720; b15:runs=30,max=1,const=30; b14:runs=32,max=2,const=28; b13:runs=34,max=2,const=26; b12:runs=37,max=4,const=26; b11:runs=44,max=6,const=24",student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex223,ex223_r77_frontendbest_decode_keep_abc_g_aig,fp16_log,registry_frontend_best_source_with_selective_keep_on_decode_and_highbit_outputs,preserve only high-fanout decode wires and high-bit run outputs in current frontend-best source,current frontend-best source sharing preserved; dense residual table not kept,current nested high-bit run trees plus one low residual LUT,source-boundary variant around registry frontend-best source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
,frontend_source_parallel_round77_20260613_1733,sub-fp16-source-r77,ex223,ex223_r77_frontendbest_split_output_assigns_abc_g_aig,fp16_log,registry_frontend_best_source_with_high_vs_low_output_grouped_assigns,separate high run-tree bundle from low residual at final output mux,current frontend-best source sharing preserved with explicit high/low output boundary,current nested high-bit run trees plus one low residual LUT,source-boundary variant around registry frontend-best source student/work/ex200_ex299_frontend_refgap_round6_20260612_1807/fp16-r6/ex223/verilog/ex223_semantic_special_nested_low14_hi5.v,student/frontend_campaigns/campaigns/frontend_source_parallel_round77_20260613_1733/agent_shards/sub-fp16-source-r77/shared_structure_report.csv,,,,,,,,,,,,,,,,,,,
