case,model,missing_policy,order_name,order_fields,input_width,output_width,field_count,bucket_count,selected_features,mapped_keys,domain_space,terminal_count,nonterm_nodes,total_nodes,max_width,width_profile,valid_exact,trace
ex286,word,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2233,3541,5774,1383,1:2:4:12:36:72:144:576:575:736:1383,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,bit_shared,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2,2303,2305,638,13:26:48:136:362:472:421:638:173:12:2,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,word,reuse_first,selectors_then_counts,sel0_raw3:sel1_raw10:sel2_xor6_7:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2233,2559,4792,1536,1:2:4:8:16:32:64:128:256:512:1536,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,bit_shared,reuse_first,selectors_then_counts,sel0_raw3:sel1_raw10:sel2_xor6_7:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2,2253,2255,606,13:26:48:96:192:320:606:579:292:75:6,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,word,reuse_first,count_center_then_selectors,cnt3:cnt4:cnt2:cnt5:cnt1:cnt6:cnt0:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2233,3694,5927,1383,1:3:6:18:36:72:288:576:575:736:1383,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,bit_shared,reuse_first,count_center_then_selectors,cnt3:cnt4:cnt2:cnt5:cnt1:cnt6:cnt0:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2,2653,2655,905,13:39:78:172:269:352:905:638:173:12:2,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,word,reuse_first,count_edges_then_selectors,cnt7:cnt0:cnt6:cnt1:cnt5:cnt2:cnt4:cnt3:sel0_raw3:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2233,3736,5969,1383,1:3:6:24:48:96:288:576:575:736:1383,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,bit_shared,reuse_first,count_edges_then_selectors,cnt7:cnt0:cnt6:cnt1:cnt5:cnt2:cnt4:cnt3:sel0_raw3:sel1_raw10:sel2_xor6_7,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2,4038,4040,1377,13:39:78:280:440:690:1377:934:173:12:2,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,word,reuse_first,domain_asc,cnt0:cnt1:cnt4:cnt5:sel0_raw3:sel1_raw10:sel2_xor6_7:cnt2:cnt3:cnt7:cnt6,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2233,2547,4780,1524,1:2:4:8:16:32:64:128:256:512:1524,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
ex286,bit_shared,reuse_first,domain_asc,cnt0:cnt1:cnt4:cnt5:sel0_raw3:sel1_raw10:sel2_xor6_7:cnt2:cnt3:cnt7:cnt6,13,13,11,8,raw3:raw10:xor6_7,4608,13824,2,1754,1756,441,13:26:48:80:128:212:303:441:414:75:14,1,base::3763:1728;add:raw3:4888:2304;add:raw10:6336:3072;add:xor6_7:8192:4608
