case,model,input_order,output_order,layer,layer_size,matches,match_ratio,param,mean_cyclic_distance,max_cyclic_distance
ex286,affine,brgc_index,rev_value,6,1716,8,0.004662,a=1;b=1535,409.452214,857
ex286,affine,brgc_index,rev_value,7,1716,7,0.004079,a=5;b=1633,434.418415,858
ex286,affine,brgc_index,rev_value,8,1287,6,0.004662,a=-7;b=813,310.528361,642
ex286,affine,brgc_index,rev_value,9,715,7,0.009790,a=-7;b=664,169.346853,357
ex286,affine,brgc_index,rev_value,10,286,5,0.017483,a=3;b=22,72.552448,143
ex286,affine,brgc_index,rev_value,11,78,5,0.064103,a=11;b=51,15.525641,39
ex286,affine,brgc_index,rev_value,12,13,4,0.307692,a=-1;b=9,2.076923,6
ex286,affine,brgc_index,rev_value,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,brgc_index,reverse_gray_then_reverse,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,brgc_index,reverse_gray_then_reverse,1,13,4,0.307692,a=5;b=0,2.538462,6
ex286,affine,brgc_index,reverse_gray_then_reverse,2,78,5,0.064103,a=-7;b=4,17.423077,38
ex286,affine,brgc_index,reverse_gray_then_reverse,3,286,6,0.020979,a=-7;b=177,65.409091,143
ex286,affine,brgc_index,reverse_gray_then_reverse,4,715,7,0.009790,a=-1;b=492,179.051748,357
ex286,affine,brgc_index,reverse_gray_then_reverse,5,1287,8,0.006216,a=2;b=1092,321.082362,643
ex286,affine,brgc_index,reverse_gray_then_reverse,6,1716,6,0.003497,a=-5;b=478,417.339744,858
ex286,affine,brgc_index,reverse_gray_then_reverse,7,1716,7,0.004079,a=5;b=62,419.730769,857
ex286,affine,brgc_index,reverse_gray_then_reverse,8,1287,7,0.005439,a=1;b=683,309.986014,642
ex286,affine,brgc_index,reverse_gray_then_reverse,9,715,6,0.008392,a=-2;b=115,168.232168,357
ex286,affine,brgc_index,reverse_gray_then_reverse,10,286,6,0.020979,a=-1;b=221,62.181818,142
ex286,affine,brgc_index,reverse_gray_then_reverse,11,78,6,0.076923,a=7;b=71,17.897436,39
ex286,affine,brgc_index,reverse_gray_then_reverse,12,13,4,0.307692,a=-1;b=9,2.076923,6
ex286,affine,brgc_index,reverse_gray_then_reverse,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,brgc_index,value,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,brgc_index,value,1,13,4,0.307692,a=1;b=6,1.769231,4
ex286,affine,brgc_index,value,2,78,5,0.064103,a=5;b=8,20.717949,39
ex286,affine,brgc_index,value,3,286,7,0.024476,a=1;b=31,67.090909,142
ex286,affine,brgc_index,value,4,715,6,0.008392,a=3;b=154,174.177622,357
ex286,affine,brgc_index,value,5,1287,8,0.006216,a=-1;b=678,309.472416,643
ex286,affine,brgc_index,value,6,1716,7,0.004079,a=5;b=1218,413.139277,857
ex286,affine,brgc_index,value,7,1716,7,0.004079,a=1;b=1273,423.576923,857
ex286,affine,brgc_index,value,8,1287,7,0.005439,a=-1;b=371,311.089355,643
ex286,affine,brgc_index,value,9,715,6,0.008392,a=-2;b=657,172.155245,357
ex286,affine,brgc_index,value,10,286,7,0.024476,a=-5;b=45,65.048951,143
ex286,affine,brgc_index,value,11,78,5,0.064103,a=1;b=23,15.666667,38
ex286,affine,brgc_index,value,12,13,4,0.307692,a=1;b=3,2.076923,6
ex286,affine,brgc_index,value,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,brgc_index,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,brgc_index,1,13,5,0.384615,a=7;b=7,2.538462,6
ex286,affine,gray_then_reverse,brgc_index,2,78,5,0.064103,a=-1;b=13,17.192308,39
ex286,affine,gray_then_reverse,brgc_index,3,286,6,0.020979,a=5;b=264,67.209790,143
ex286,affine,gray_then_reverse,brgc_index,4,715,6,0.008392,a=1;b=36,174.932867,357
ex286,affine,gray_then_reverse,brgc_index,5,1287,6,0.004662,a=-2;b=845,309.888112,641
ex286,affine,gray_then_reverse,brgc_index,6,1716,7,0.004079,a=1;b=1298,414.006410,858
ex286,affine,gray_then_reverse,brgc_index,7,1716,7,0.004079,a=7;b=717,426.472028,857
ex286,affine,gray_then_reverse,brgc_index,8,1287,6,0.004662,a=-5;b=1139,310.549340,643
ex286,affine,gray_then_reverse,brgc_index,9,715,6,0.008392,a=7;b=348,174.567832,357
ex286,affine,gray_then_reverse,brgc_index,10,286,6,0.020979,a=-7;b=35,69.580420,143
ex286,affine,gray_then_reverse,brgc_index,11,78,5,0.064103,a=-7;b=6,17.269231,38
ex286,affine,gray_then_reverse,brgc_index,12,13,3,0.230769,a=-2;b=3,2.307692,6
