case,model,input_order,output_order,matches,total_rows,match_ratio,bit_mismatches,total_bits,bit_match_ratio,exact_layers,best_layer_notes
ex286,affine,value,value,103,8192,0.012573,47480,106496,0.554162,0:13,w1:4/13:a=1;b=6;w2:5/78:a=-1;b=22;w3:6/286:a=-1;b=237;w4:10/715:a=1;b=0;w5:14/1287:a=1;b=0;w6:10/1716:a=1;b=0;w7:7/1716:a=1;b=3;w8:9/1287:a=1;b=1
ex286,affine,rev_value,rev_value,101,8192,0.012329,47994,106496,0.549335,0:13,w1:4/13:a=1;b=7;w2:6/78:a=-7;b=69;w3:6/286:a=-3;b=239;w4:10/715:a=1;b=0;w5:14/1287:a=1;b=0;w6:10/1716:a=1;b=0;w7:8/1716:a=-7;b=220;w8:9/1287:a=1;b=1
ex286,shift,value,value,100,8192,0.012207,47574,106496,0.553279,0:13,w1:4/13:shift=6;w2:3/78:shift=5;w3:5/286:shift=0;w4:10/715:shift=0;w5:14/1287:shift=0;w6:10/1716:shift=0;w7:7/1716:shift=3;w8:9/1287:shift=1
ex286,affine,gray_then_reverse,gray_then_reverse,98,8192,0.011963,48144,106496,0.547927,0:13,w1:4/13:a=-7;b=5;w2:5/78:a=1;b=37;w3:6/286:a=3;b=130;w4:10/715:a=1;b=0;w5:14/1287:a=1;b=0;w6:10/1716:a=1;b=0;w7:7/1716:a=-1;b=1383;w8:8/1287:a=1;b=5
ex286,affine,rev_brgc_index,rev_brgc_index,98,8192,0.011963,48260,106496,0.546837,0:13,w1:4/13:a=1;b=7;w2:5/78:a=-1;b=74;w3:6/286:a=-3;b=187;w4:10/715:a=1;b=0;w5:14/1287:a=1;b=0;w6:10/1716:a=1;b=0;w7:9/1716:a=7;b=294;w8:6/1287:a=-5;b=15
ex286,affine,brgc_index,brgc_index,97,8192,0.011841,47514,106496,0.553842,0:13,w1:4/13:a=1;b=6;w2:5/78:a=5;b=34;w3:7/286:a=5;b=207;w4:10/715:a=1;b=0;w5:14/1287:a=1;b=0;w6:10/1716:a=1;b=0;w7:6/1716:a=1;b=0;w8:7/1287:a=1;b=1286
ex286,affine,reverse_gray_then_reverse,reverse_gray_then_reverse,97,8192,0.011841,47864,106496,0.550556,0:13,w1:4/13:a=-3;b=1;w2:5/78:a=-7;b=62;w3:6/286:a=-1;b=227;w4:10/715:a=1;b=0;w5:14/1287:a=1;b=0;w6:10/1716:a=1;b=0;w7:6/1716:a=1;b=0;w8:8/1287:a=-7;b=415
ex286,affine,gray_value,gray_value,97,8192,0.011841,47870,106496,0.550500,0:13,w1:4/13:a=1;b=6;w2:5/78:a=-5;b=24;w3:6/286:a=-3;b=110;w4:10/715:a=1;b=0;w5:14/1287:a=1;b=0;w6:10/1716:a=1;b=0;w7:7/1716:a=-5;b=1137;w8:8/1287:a=-7;b=252
ex286,affine,rev_gray_value,rev_gray_value,97,8192,0.011841,48260,106496,0.546837,0:13,w1:4/13:a=1;b=7;w2:5/78:a=1;b=51;w3:7/286:a=-7;b=279;w4:10/715:a=1;b=0;w5:14/1287:a=1;b=0;w6:10/1716:a=1;b=0;w7:7/1716:a=-7;b=541;w8:8/1287:a=1;b=2
ex286,shift,rev_value,rev_value,96,8192,0.011719,47898,106496,0.550237,0:13,w1:4/13:shift=7;w2:4/78:shift=48;w3:5/286:shift=0;w4:10/715:shift=0;w5:14/1287:shift=0;w6:10/1716:shift=0;w7:6/1716:shift=0;w8:9/1287:shift=1
ex286,shift,gray_then_reverse,gray_then_reverse,95,8192,0.011597,47894,106496,0.550274,0:13,w1:3/13:shift=7;w2:5/78:shift=37;w3:5/286:shift=0;w4:10/715:shift=0;w5:14/1287:shift=0;w6:10/1716:shift=0;w7:6/1716:shift=0;w8:8/1287:shift=5
ex286,shift,reverse_gray_then_reverse,reverse_gray_then_reverse,94,8192,0.011475,47722,106496,0.551889,0:13,w1:3/13:shift=2;w2:5/78:shift=16;w3:5/286:shift=0;w4:10/715:shift=0;w5:14/1287:shift=0;w6:10/1716:shift=0;w7:6/1716:shift=0;w8:7/1287:shift=822
ex286,shift,brgc_index,brgc_index,93,8192,0.011353,47594,106496,0.553091,0:13,w1:4/13:shift=6;w2:3/78:shift=30;w3:5/286:shift=0;w4:10/715:shift=0;w5:14/1287:shift=0;w6:10/1716:shift=0;w7:6/1716:shift=0;w8:7/1287:shift=1286
ex286,shift,rev_gray_value,rev_gray_value,93,8192,0.011353,47904,106496,0.550180,0:13,w1:4/13:shift=7;w2:5/78:shift=51;w3:5/286:shift=0;w4:10/715:shift=0;w5:14/1287:shift=0;w6:10/1716:shift=0;w7:6/1716:shift=0;w8:8/1287:shift=2
ex286,shift,rev_brgc_index,rev_brgc_index,93,8192,0.011353,48092,106496,0.548415,0:13,w1:4/13:shift=7;w2:4/78:shift=44;w3:5/286:shift=0;w4:10/715:shift=0;w5:14/1287:shift=0;w6:10/1716:shift=0;w7:6/1716:shift=0;w8:6/1287:shift=2
ex286,shift,gray_value,gray_value,92,8192,0.011230,47386,106496,0.555044,0:13,w1:4/13:shift=6;w2:3/78:shift=19;w3:5/286:shift=0;w4:10/715:shift=0;w5:14/1287:shift=0;w6:10/1716:shift=0;w7:6/1716:shift=0;w8:7/1287:shift=1
