case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top5_first_classcase_endpoint_rev,803,25,20075,2415,8.312629,17220,2855,0,prefix_parity_reduce_top5_first_classcase_endpoint_rev,transform=prefix_parity_reduce; outer_bits=0:11:1:10:2; inner_bits=3:4:5:6:7:8:9; class_encoding=first; outer_states=32; class_count=28; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31; mux_style=classcase; inner_order_style=endpoint_rev; old_group_bdd_nodes=3456; unique_group_bdd_nodes=3058; group_bdd_nodes=78:83:83:88:129:125:126:127:91:98:93:130:130:127:126:124:126:120:95:93:93:95:127:118:127:102:104:100; hash=cfc9d794bd50,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classcase_endpoint,941,30,28230,2336,12.084760,20592,7638,0,prefix_parity_reduce_top6_first_classcase_endpoint,transform=prefix_parity_reduce; outer_bits=0:12:1:11:2:10; inner_bits=3:4:5:6:7:8:9; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classcase; inner_order_style=endpoint; old_group_bdd_nodes=7602; unique_group_bdd_nodes=5938; group_bdd_nodes=107:115:115:118:118:115:115:118:115:116:116:111:120:120:120:117:121:116:118:121:120:114:120:117:117:114:116:119:119:125:120:121:120:114:119:125:125:119:124:121:124:116:122:124:122:122:124:117:125:121; hash=6e2af30c038f,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classcase_endpoint,1094,30,32820,2704,12.137574,28740,4080,0,prefix_parity_reduce_top6_first_classcase_endpoint,transform=prefix_parity_reduce; outer_bits=0:13:1:12:2:11; inner_bits=3:4:5:6:7:8:9:10; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classcase; inner_order_style=endpoint; old_group_bdd_nodes=10914; unique_group_bdd_nodes=8523; group_bdd_nodes=158:166:166:170:170:167:166:170:166:167:167:163:170:170:170:168:171:167:168:171:170:165:170:168:168:164:169:172:172:177:173:173:173:167:172:177:177:172:177:174:177:168:174:177:174:174:177:170:178:173; hash=d98764bd8a2e,unknown canonical prefix-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classcase_endpoint,1222,32,39104,3168,12.343434,34317,4787,0,prefix_parity_reduce_top6_first_classcase_endpoint,transform=prefix_parity_reduce; outer_bits=0:14:1:13:2:12; inner_bits=3:4:5:6:7:8:9:10:11; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classcase; inner_order_style=endpoint; old_group_bdd_nodes=15186; unique_group_bdd_nodes=11861; group_bdd_nodes=224:232:232:237:237:234:232:237:232:233:233:230:237:237:237:234:238:233:235:238:237:231:237:234:234:231:236:239:239:244:240:240:240:234:239:244:244:239:244:241:244:235:241:244:241:241:244:237:245:240; hash=9fbc0d72f6cc,unknown canonical prefix-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top6_first_classcase_endpoint,1367,37,50579,4240,11.929009,42624,7955,0,prefix_parity_reduce_top6_first_classcase_endpoint,transform=prefix_parity_reduce; outer_bits=0:15:1:14:2:13; inner_bits=3:4:5:6:7:8:9:10:11:12; class_encoding=first; outer_states=64; class_count=50; unique_reps=0:1:2:3:4:6:8:9:11:12:13:15:16:17:18:19:20:21:22:23:24:25:27:28:29:31:32:33:34:35:36:37:38:39:43:44:45:47:48:49:50:51:52:53:54:55:59:60:61:63; rep_by_outer=0:1:2:3:4:1:6:3:8:9:8:11:12:13:12:15:16:17:18:19:20:21:22:23:24:25:24:27:28:29:28:31:32:33:34:35:36:37:38:39:32:35:32:43:44:45:44:47:48:49:50:51:52:53:54:55:48:51:48:59:60:61:60:63; mux_style=classcase; inner_order_style=endpoint; old_group_bdd_nodes=19090; unique_group_bdd_nodes=14911; group_bdd_nodes=285:293:293:298:298:295:293:298:293:294:294:291:298:298:298:295:299:294:296:299:298:292:298:295:295:292:297:300:300:305:301:301:301:295:300:305:305:300:305:302:305:296:302:305:302:302:305:298:306:301; hash=568b8cb4009e,unknown canonical prefix-key cofactor-BDD Verilog seed
