case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_radix4_compact_digit_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_compact_digit+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_wreduce_abc_g_aig.aig,1,1,1,193,28,5404,2651,2.038476,0,0,0.378,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_compact_digit_synth_preset,unsigned low6_high6:a/b dbz=max,radix4_compact_digit+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_synth_preset.aig,1,1,1,194,28,5432,2651,2.049038,0,0,0.439,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset
ex267,ex267_udiv_radix4_compact_digit_synth_preset_d8,unsigned low6_high6:a/b dbz=max,radix4_compact_digit+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_synth_preset_d8.aig,1,1,1,194,28,5432,2651,2.049038,0,0,0.439,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset_d8
ex267,ex267_udiv_radix4_compact_digit_synth_preset_d10,unsigned low6_high6:a/b dbz=max,radix4_compact_digit+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_synth_preset_d10.aig,1,1,1,194,28,5432,2651,2.049038,0,0,0.441,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset_d10
ex267,ex267_udiv_radix4_top3_compact_digit_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top3_compact_digit+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_top3_compact_digit_abc_g_aig.aig,1,1,1,190,28,5320,2651,2.006790,0,0,0.342,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=abc_g_aig
ex267,ex267_udiv_radix4_top3_compact_digit_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top3_compact_digit+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_top3_compact_digit_wreduce_abc_g_aig.aig,1,1,1,193,28,5404,2651,2.038476,0,0,0.379,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_top3_compact_digit_synth_preset,unsigned low6_high6:a/b dbz=max,radix4_top3_compact_digit+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_top3_compact_digit_synth_preset.aig,1,1,1,194,28,5432,2651,2.049038,0,0,0.441,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset
ex267,ex267_udiv_radix4_top3_compact_digit_synth_preset_d8,unsigned low6_high6:a/b dbz=max,radix4_top3_compact_digit+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_top3_compact_digit_synth_preset_d8.aig,1,1,1,194,28,5432,2651,2.049038,0,0,0.442,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset_d8
ex267,ex267_udiv_radix4_top3_compact_digit_synth_preset_d10,unsigned low6_high6:a/b dbz=max,radix4_top3_compact_digit+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_top3_compact_digit_synth_preset_d10.aig,1,1,1,194,28,5432,2651,2.049038,0,0,0.440,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset_d10
ex269,ex269_udiv_radix4_compact_digit_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_compact_digit+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_compact_digit_abc_g_aig.aig,1,1,1,363,47,17061,11760,1.450765,1,0,0.573,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_compact_digit; flow=abc_g_aig
ex269,ex269_udiv_radix4_compact_digit_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_compact_digit+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_compact_digit_wreduce_abc_g_aig.aig,1,1,1,364,46,16744,11760,1.423810,1,0,0.583,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_compact_digit; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_compact_digit_synth_preset,unsigned low8_high8:a/b dbz=max,radix4_compact_digit+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_compact_digit_synth_preset.aig,1,1,1,374,50,18700,11760,1.590136,0,0,0.649,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset
ex269,ex269_udiv_radix4_compact_digit_synth_preset_d8,unsigned low8_high8:a/b dbz=max,radix4_compact_digit+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_compact_digit_synth_preset_d8.aig,1,1,1,374,50,18700,11760,1.590136,0,0,0.639,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset_d8
ex269,ex269_udiv_radix4_compact_digit_synth_preset_d10,unsigned low8_high8:a/b dbz=max,radix4_compact_digit+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_compact_digit_synth_preset_d10.aig,1,1,1,374,50,18700,11760,1.590136,0,0,0.639,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset_d10
ex269,ex269_udiv_radix4_top3_compact_digit_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_top3_compact_digit+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_top3_compact_digit_abc_g_aig.aig,1,1,1,359,60,21540,11760,1.831633,0,0,0.559,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=abc_g_aig
ex269,ex269_udiv_radix4_top3_compact_digit_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_top3_compact_digit+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_top3_compact_digit_wreduce_abc_g_aig.aig,1,1,1,362,59,21358,11760,1.816156,0,0,0.574,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_top3_compact_digit_synth_preset,unsigned low8_high8:a/b dbz=max,radix4_top3_compact_digit+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_top3_compact_digit_synth_preset.aig,1,1,1,359,62,22258,11760,1.892687,0,0,0.663,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset
ex269,ex269_udiv_radix4_top3_compact_digit_synth_preset_d8,unsigned low8_high8:a/b dbz=max,radix4_top3_compact_digit+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_top3_compact_digit_synth_preset_d8.aig,1,1,1,359,62,22258,11760,1.892687,0,0,0.690,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset_d8
ex269,ex269_udiv_radix4_top3_compact_digit_synth_preset_d10,unsigned low8_high8:a/b dbz=max,radix4_top3_compact_digit+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_top3_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_top3_compact_digit_synth_preset_d10.aig,1,1,1,359,62,22258,11760,1.892687,0,0,0.664,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_compact_digit; flow=synth_preset_d10
