case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex266,ex266_udiv_radix4_compact_digit_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_compact_digit+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/verilog/ex266_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex266/aigs/ex266_udiv_radix4_compact_digit_synth_preset.aig,128,20,2560,848,3.018868,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_compact_digit; flow=synth_preset
ex267,ex267_udiv_radix4_compact_digit_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_compact_digit+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/verilog/ex267_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex267/aigs/ex267_udiv_radix4_compact_digit_abc_g_aig.aig,190,28,5320,2651,2.006790,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_compact_digit; flow=abc_g_aig
ex269,ex269_udiv_radix4_compact_digit_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_compact_digit+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/verilog/ex269_udiv_radix4_compact_digit.v,student/work/ex266_ex267_ex269_frontend_udiv_compact_radix_20260609_0845/ex269/aigs/ex269_udiv_radix4_compact_digit_wreduce_abc_g_aig.aig,364,46,16744,11760,1.423810,1,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_compact_digit; flow=wreduce_abc_g_aig
