case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex223,ex223_fp16_log_signsplit_q20_exc,fp16_log,signsplit_q20_exc,student/work/ex223_ex224_frontend_fp16_log_signsplit_20260606_2305/ex223/verilog/ex223_fp16_log_signsplit_q20_exc.v,student/work/ex223_ex224_frontend_fp16_log_signsplit_20260606_2305/ex223/aigs/ex223_fp16_log_signsplit_q20_exc.aig,1,1,1,6563,58,380654,120549,3.157670,0,0,semantic_hybrid,frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2; signsplit_abs=1,19.122,semantic_hybrid FP16 fixed-point log semantic candidate; frac_bits=20; mode=round; adjusted_q=49; failed_q=2; exceptions=2; signsplit_abs=1
ex223,ex223_fp16_log_signsplit_q22,fp16_log,signsplit_q22,student/work/ex223_ex224_frontend_fp16_log_signsplit_20260606_2305/ex223/verilog/ex223_fp16_log_signsplit_q22.v,student/work/ex223_ex224_frontend_fp16_log_signsplit_20260606_2305/ex223/aigs/ex223_fp16_log_signsplit_q22.aig,1,1,1,7297,57,415929,120549,3.450290,0,0,semantic_exact,frac_bits=22; mode=round; adjusted_q=6; failed_q=0; exceptions=0; signsplit_abs=1,24.928,semantic_exact FP16 fixed-point log semantic candidate; frac_bits=22; mode=round; adjusted_q=6; failed_q=0; exceptions=0; signsplit_abs=1
ex224,ex224_fp16_log2_signsplit_q18_exc,fp16_log2,signsplit_q18_exc,student/work/ex223_ex224_frontend_fp16_log_signsplit_20260606_2305/ex224/verilog/ex224_fp16_log2_signsplit_q18_exc.v,student/work/ex223_ex224_frontend_fp16_log_signsplit_20260606_2305/ex224/aigs/ex224_fp16_log2_signsplit_q18_exc.aig,1,1,1,3676,50,183800,64708,2.840452,0,0,semantic_hybrid,frac_bits=18; mode=round; adjusted_q=24; failed_q=6; exceptions=6; signsplit_abs=1,10.494,semantic_hybrid FP16 fixed-point log semantic candidate; frac_bits=18; mode=round; adjusted_q=24; failed_q=6; exceptions=6; signsplit_abs=1
ex224,ex224_fp16_log2_signsplit_q20,fp16_log2,signsplit_q20,student/work/ex223_ex224_frontend_fp16_log_signsplit_20260606_2305/ex224/verilog/ex224_fp16_log2_signsplit_q20.v,student/work/ex223_ex224_frontend_fp16_log_signsplit_20260606_2305/ex224/aigs/ex224_fp16_log2_signsplit_q20.aig,1,1,1,4221,51,215271,64708,3.326807,0,0,semantic_exact,frac_bits=20; mode=round; adjusted_q=5; failed_q=0; exceptions=0; signsplit_abs=1,13.671,semantic_exact FP16 fixed-point log semantic candidate; frac_bits=20; mode=round; adjusted_q=5; failed_q=0; exceptions=0; signsplit_abs=1
