case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_prefix4_refine01_ge_synth_preset_d6,unsigned_floor_isqrt,prefix4_refine01_ge+synth_preset_d6,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine01_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine01_ge_synth_preset_d6.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.371,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine01_ge; flow=synth_preset_d6
ex276,ex276_isqrt_prefix4_refine01_ge_synth_preset_d8,unsigned_floor_isqrt,prefix4_refine01_ge+synth_preset_d8,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine01_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine01_ge_synth_preset_d8.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.394,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine01_ge; flow=synth_preset_d8
ex276,ex276_isqrt_prefix4_refine01_ge_synth_preset_d10,unsigned_floor_isqrt,prefix4_refine01_ge+synth_preset_d10,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine01_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine01_ge_synth_preset_d10.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.380,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine01_ge; flow=synth_preset_d10
ex276,ex276_isqrt_prefix4_refine03_ge_abc_g_aig,unsigned_floor_isqrt,prefix4_refine03_ge+abc_g_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine03_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine03_ge_abc_g_aig.aig,1,1,1,114,11,1254,632,1.984177,0,0,0.293,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine03_ge; flow=abc_g_aig
ex276,ex276_isqrt_prefix4_refine03_ge_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_refine03_ge+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine03_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine03_ge_wreduce_abc_g_aig.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.290,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine03_ge; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix4_refine03_ge_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_refine03_ge+arith_wreduce_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine03_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine03_ge_arith_wreduce_aig.aig,1,1,1,115,11,1265,632,2.001582,0,0,0.293,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine03_ge; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix4_refine03_ge_synth_preset,unsigned_floor_isqrt,prefix4_refine03_ge+synth_preset,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine03_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine03_ge_synth_preset.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.366,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine03_ge; flow=synth_preset
ex276,ex276_isqrt_prefix4_refine03_ge_synth_preset_d6,unsigned_floor_isqrt,prefix4_refine03_ge+synth_preset_d6,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine03_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine03_ge_synth_preset_d6.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.361,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine03_ge; flow=synth_preset_d6
ex276,ex276_isqrt_prefix4_refine03_ge_synth_preset_d8,unsigned_floor_isqrt,prefix4_refine03_ge+synth_preset_d8,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine03_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine03_ge_synth_preset_d8.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.360,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine03_ge; flow=synth_preset_d8
ex276,ex276_isqrt_prefix4_refine03_ge_synth_preset_d10,unsigned_floor_isqrt,prefix4_refine03_ge+synth_preset_d10,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_refine03_ge.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_refine03_ge_synth_preset_d10.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.362,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_refine03_ge; flow=synth_preset_d10
