case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_layered_anf_davio_identity_deg1_best_residual,unknown_layered_anf_davio,identity_deg1_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex280/verilog/ex280_unknown_layered_anf_davio_identity_deg1_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex280/aigs/ex280_unknown_layered_anf_davio_identity_deg1_best_residual.aig,1,1,1,1198,27,32346,1.329,transform=identity; threshold=1; order=interleave; direct_terms=10; residual_terms=2132; direct_unique=5; residual_nodes_est=399; davio_nodes=703; hash=258d1b10d118,unknown layered ANF/Davio Verilog seed
ex280,ex280_unknown_layered_anf_davio_identity_deg2_best_residual,unknown_layered_anf_davio,identity_deg2_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex280/verilog/ex280_unknown_layered_anf_davio_identity_deg2_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex280/aigs/ex280_unknown_layered_anf_davio_identity_deg2_best_residual.aig,1,1,1,1500,25,37500,1.343,transform=identity; threshold=2; order=interleave; direct_terms=119; residual_terms=2023; direct_unique=41; residual_nodes_est=364; davio_nodes=629; hash=9beafe1640ba,unknown layered ANF/Davio Verilog seed
ex280,ex280_unknown_layered_anf_davio_identity_deg3_best_residual,unknown_layered_anf_davio,identity_deg3_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex280/verilog/ex280_unknown_layered_anf_davio_identity_deg3_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex280/aigs/ex280_unknown_layered_anf_davio_identity_deg3_best_residual.aig,1,1,1,2629,26,68354,1.820,transform=identity; threshold=3; order=interleave; direct_terms=614; residual_terms=1528; direct_unique=222; residual_nodes_est=203; davio_nodes=347; hash=5a2d20981d9d,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_identity_deg1_best_residual,unknown_layered_anf_davio,identity_deg1_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex281/verilog/ex281_unknown_layered_anf_davio_identity_deg1_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex281/aigs/ex281_unknown_layered_anf_davio_identity_deg1_best_residual.aig,1,1,1,1501,29,43529,2.836,transform=identity; threshold=1; order=interleave; direct_terms=11; residual_terms=3328; direct_unique=6; residual_nodes_est=482; davio_nodes=852; hash=564a3a4c9687,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_identity_deg2_best_residual,unknown_layered_anf_davio,identity_deg2_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex281/verilog/ex281_unknown_layered_anf_davio_identity_deg2_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex281/aigs/ex281_unknown_layered_anf_davio_identity_deg2_best_residual.aig,1,1,1,1795,28,50260,2.878,transform=identity; threshold=2; order=interleave; direct_terms=134; residual_terms=3205; direct_unique=48; residual_nodes_est=439; davio_nodes=768; hash=bdc6a24dca04,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_identity_deg3_best_residual,unknown_layered_anf_davio,identity_deg3_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex281/verilog/ex281_unknown_layered_anf_davio_identity_deg3_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex281/aigs/ex281_unknown_layered_anf_davio_identity_deg3_best_residual.aig,1,1,1,3592,27,96984,3.453,transform=identity; threshold=3; order=center; direct_terms=782; residual_terms=2557; direct_unique=279; residual_nodes_est=247; davio_nodes=444; hash=190bdc7b2a1a,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_identity_deg1_best_residual,unknown_layered_anf_davio,identity_deg1_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex282/verilog/ex282_unknown_layered_anf_davio_identity_deg1_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex282/aigs/ex282_unknown_layered_anf_davio_identity_deg1_best_residual.aig,1,1,1,1699,33,56067,6.093,transform=identity; threshold=1; order=interleave; direct_terms=12; residual_terms=4254; direct_unique=6; residual_nodes_est=546; davio_nodes=967; hash=59f40796e099,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_identity_deg2_best_residual,unknown_layered_anf_davio,identity_deg2_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex282/verilog/ex282_unknown_layered_anf_davio_identity_deg2_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex282/aigs/ex282_unknown_layered_anf_davio_identity_deg2_best_residual.aig,1,1,1,2112,30,63360,6.020,transform=identity; threshold=2; order=interleave; direct_terms=166; residual_terms=4100; direct_unique=55; residual_nodes_est=503; davio_nodes=878; hash=d748f9fd8331,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_identity_deg3_best_residual,unknown_layered_anf_davio,identity_deg3_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex282/verilog/ex282_unknown_layered_anf_davio_identity_deg3_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex282/aigs/ex282_unknown_layered_anf_davio_identity_deg3_best_residual.aig,1,1,1,4332,30,129960,6.833,transform=identity; threshold=3; order=interleave; direct_terms=1001; residual_terms=3265; direct_unique=345; residual_nodes_est=282; davio_nodes=490; hash=a7401513491e,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_identity_deg1_best_residual,unknown_layered_anf_davio,identity_deg1_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex283/verilog/ex283_unknown_layered_anf_davio_identity_deg1_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex283/aigs/ex283_unknown_layered_anf_davio_identity_deg1_best_residual.aig,1,1,1,2059,35,72065,16.002,transform=identity; threshold=1; order=interleave; direct_terms=13; residual_terms=6280; direct_unique=7; residual_nodes_est=638; davio_nodes=1134; hash=97e5f9b909b0,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_identity_deg2_best_residual,unknown_layered_anf_davio,identity_deg2_best_residual,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex283/verilog/ex283_unknown_layered_anf_davio_identity_deg2_best_residual.v,student/work/ex280_ex284_frontend_layered_anf_davio_20260608_2228/ex283/aigs/ex283_unknown_layered_anf_davio_identity_deg2_best_residual.aig,1,1,1,2570,34,87380,16.150,transform=identity; threshold=2; order=interleave; direct_terms=184; residual_terms=6109; direct_unique=63; residual_nodes_est=587; davio_nodes=1035; hash=020fbd6dc7c9,unknown layered ANF/Davio Verilog seed
