case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla6+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla6.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla6_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.205,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla6.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla6.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla6_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.234,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla6_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_hcla6+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla6.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla6_synth_preset_d18.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.228,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla6; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla8_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla8+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla8.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla8_abc_g_aig.aig,1,1,1,91,15,1365,657,2.077626,0,0,0.201,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla8; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla8_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla8+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla8.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla8_wreduce_abc_g_aig.aig,1,1,1,91,15,1365,657,2.077626,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla8; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla8_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla8+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla8.v,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla8_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.231,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla8; flow=synth_preset_d13
