case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,92,13,1196,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,92,14,1288,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,92,14,1288,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla6_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla6_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig,1,91,14,1274,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla6_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla6_synth_preset_d13,1,89,16,1424,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla6_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla6_synth_preset_d18,1,89,16,1424,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla6_synth_preset_d18.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla6; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla8_abc_g_aig,1,91,15,1365,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla8_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla8; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla8_wreduce_abc_g_aig,1,91,15,1365,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla8_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla8; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla8_synth_preset_d13,1,89,16,1424,student/work/ex260_ex264_frontend_smul_baugh_hcla_all_20260609_0324/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla8_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla8; flow=synth_preset_d13
