case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_case_b_signed_const_abc_g_aig,signed low4_high4:a*b,case_b_signed_const+abc_g_aig,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_case_b_signed_const.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_abc_g_aig.aig,1,1,1,190,10,1900,657,2.891933,0,0,0.278,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=abc_g_aig
ex260,ex260_smul_case_b_signed_const_wreduce_abc_g_aig,signed low4_high4:a*b,case_b_signed_const+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_case_b_signed_const.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_wreduce_abc_g_aig.aig,1,1,1,191,10,1910,657,2.907154,0,0,0.289,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=wreduce_abc_g_aig
ex260,ex260_smul_case_b_signed_const_synth_preset_d9,signed low4_high4:a*b,case_b_signed_const+synth_preset_d9,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_case_b_signed_const.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_synth_preset_d9.aig,1,1,1,188,10,1880,657,2.861492,0,0,0.340,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=synth_preset_d9
ex260,ex260_smul_case_b_signed_const_synth_preset_d13,signed low4_high4:a*b,case_b_signed_const+synth_preset_d13,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_case_b_signed_const.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_synth_preset_d13.aig,1,1,1,188,10,1880,657,2.861492,0,0,0.337,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=synth_preset_d13
ex260,ex260_smul_case_b_signed_const_synth_preset_d18,signed low4_high4:a*b,case_b_signed_const+synth_preset_d18,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_case_b_signed_const.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_case_b_signed_const_synth_preset_d18.aig,1,1,1,188,10,1880,657,2.861492,0,0,0.344,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=case_b_signed_const; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.212,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d9,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.256,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.257,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.252,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+abc_g_aig,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_ex261_frontend_smul_case_const_20260609_0605/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
