case,output_bit,primitive_count,exact_kind,exact_expr,best_expr,best_matches,total_rows,best_match_ratio,notes
ex286,0,626,,,(c1_s2<=0)^(c4_s6<=0),5665,8192,0.691528,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,1,626,,,!((c1_s2<=0)^(c4_s6<=0)),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,2,626,,,(c1_s2<=0)^(c4_s6<=0),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,3,626,,,!((c1_s2<=0)^(c4_s6<=0)),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,4,626,,,(c1_s2<=0)^(c4_s6<=0),5585,8192,0.681763,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,5,626,,,!((c1_s2<=0)^(c4_s6<=0)),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,6,626,,,(c1_s2<=0)^(c4_s6<=0),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,7,626,,,!((c1_s2<=0)^(c4_s6<=0)),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,8,626,,,(c1_s2<=0)^(c4_s6<=0),5599,8192,0.683472,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,9,626,,,!((c1_s2<=0)^(c4_s6<=0)),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,10,626,,,(c1_s2<=0)^(c4_s6<=0),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,11,626,,,!((c1_s2<=0)^(c4_s6<=0)),6144,8192,0.750000,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex286,12,626,,,(c1_s2<=0)^(c4_s6<=0),5679,8192,0.693237,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex287,0,666,,,(c1_s4<=0)^(c3_s6<=0),12561,16384,0.766663,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,1,666,,,!((c1_s4<=0)^(c3_s6<=0)),12541,16384,0.765442,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,2,666,,,(c1_s4<=0)^(c3_s6<=0),12288,16384,0.750000,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,3,666,,,!((c1_s4<=0)^(c3_s6<=0)),12288,16384,0.750000,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,4,666,,,(sum_c1_3==2)^(sum_c2_4==2),12001,16384,0.732483,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,5,666,,,!((c1_s4<=0)^(c3_s6<=0)),12029,16384,0.734192,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,6,666,,,(c1_s4<=0)^(c3_s6<=0),12288,16384,0.750000,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,7,666,,,!((c1_s4<=0)^(c3_s6<=0)),12288,16384,0.750000,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,8,666,,,(c1_s4<=0)^(c3_s6<=0),12015,16384,0.733337,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,9,666,,,!((c1_s4<=0)^(c3_s6<=0)),12035,16384,0.734558,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,10,666,,,(c1_s4<=0)^(c3_s6<=0),12288,16384,0.750000,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
