case,output_bit,primitive_count,exact_kind,exact_expr,best_expr,best_matches,total_rows,best_match_ratio,notes
ex286,summary,626,bits=,,!((c1_s2<=0)^(c4_s6<=0)),6144,8192,0.750000,diagnostic-only; exact primitive bits 
ex287,summary,666,bits=,,(c1_s4<=0)^(c3_s6<=0),12591,16384,0.768494,diagnostic-only; exact primitive bits 
ex288,summary,840,bits=,,!((c2_s4<=0)^(c8_s14<=0)),24576,32768,0.750000,diagnostic-only; exact primitive bits 
