case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_direct_square_abc_g_aig,unsigned_square_x_times_x,direct_square+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_direct_square_abc_g_aig.aig,1,1,1,270,33,8910,2076,4.291908,0,0,0.243,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=abc_g_aig
ex270,ex270_square_direct_square_wreduce_abc_g_aig,unsigned_square_x_times_x,direct_square+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_direct_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_direct_square_wreduce_abc_g_aig.aig,1,1,1,270,33,8910,2076,4.291908,0,0,0.240,semantic_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=direct_square; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_abc_g_aig,unsigned_square_x_times_x,wallace_square+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_abc_g_aig.aig,1,1,1,194,23,4462,2076,2.149326,0,0,0.238,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square; flow=abc_g_aig
ex270,ex270_square_wallace_square_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_wreduce_abc_g_aig.aig,1,1,1,194,23,4462,2076,2.149326,0,0,0.238,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_rev_abc_g_aig,unsigned_square_x_times_x,wallace_square_rev+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square_rev.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_rev_abc_g_aig.aig,1,1,1,188,22,4136,2076,1.992293,0,0,0.234,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_rev; flow=abc_g_aig
ex270,ex270_square_wallace_square_rev_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_rev+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square_rev.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_rev_wreduce_abc_g_aig.aig,1,1,1,188,22,4136,2076,1.992293,0,0,0.235,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_rev; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_outside_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_outside_abc_g_aig.aig,1,1,1,186,21,3906,2076,1.881503,0,0,0.228,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=abc_g_aig
ex270,ex270_square_wallace_square_outside_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_outside_wreduce_abc_g_aig.aig,1,1,1,186,21,3906,2076,1.881503,0,0,0.248,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_hcla4_abc_g_aig,unsigned_square_x_times_x,wallace_square_hcla4+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square_hcla4.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_hcla4_abc_g_aig.aig,1,1,1,196,22,4312,2076,2.077071,0,0,0.247,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_hcla4; flow=abc_g_aig
ex270,ex270_square_wallace_square_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_hcla4+wreduce_abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square_hcla4.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_hcla4_wreduce_abc_g_aig.aig,1,1,1,194,22,4268,2076,2.055877,0,0,0.255,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_hcla4; flow=wreduce_abc_g_aig
ex270,ex270_square_wallace_square_hcla6_abc_g_aig,unsigned_square_x_times_x,wallace_square_hcla6+abc_g_aig,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/verilog/ex270_square_wallace_square_hcla6.v,student/work/ex270_ex274_frontend_square_structures_20260609_1138_core/ex270/aigs/ex270_square_wallace_square_hcla6_abc_g_aig.aig,1,1,1,195,22,4290,2076,2.066474,0,0,0.240,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_hcla6; flow=abc_g_aig
