case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,186,29,5394,2415,2.233540,5460,-66,1,abc_g_aig,,Yosys abc gate set aig
ex281,ex281_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,205,30,6150,2336,2.632705,6231,-81,1,abc_g_aig,,Yosys abc gate set aig
ex282,ex282_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,228,33,7524,2704,2.782544,6665,859,0,abc_g_aig,,Yosys abc gate set aig
ex283,ex283_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,227,35,7945,3168,2.507891,8260,-315,1,abc_g_aig,,Yosys abc gate set aig
ex284,ex284_prefix_parity_reduce_full_clamp_simplified_grouped_deg2_abc_g_aig,259,36,9324,4240,2.199057,9139,185,0,abc_g_aig,,Yosys abc gate set aig
