case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop4_order_nat_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_order_nat+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_nat.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_nat_abc_g_aig.aig,1,1,1,1074,35,37590,15078,2.493036,0,0,0.901,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_nat; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_order_nat_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_order_nat+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_nat.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_nat_wreduce_abc_g_aig.aig,1,1,1,1066,33,35178,15078,2.333068,0,0,0.917,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_nat; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_order_nat_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_order_nat+synth_preset,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_nat.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_nat_synth_preset.aig,1,1,1,1068,33,35244,15078,2.337445,0,0,1.164,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_nat; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_order_nat_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_order_nat+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_nat.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_nat_synth_preset_d20.aig,1,1,1,1068,33,35244,15078,2.337445,0,0,1.166,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_nat; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_order_outside_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_order_outside+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_outside.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_outside_abc_g_aig.aig,1,1,1,902,33,29766,15078,1.974135,0,0,2.548,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_outside; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_order_outside_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_order_outside+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_outside.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_outside_wreduce_abc_g_aig.aig,1,1,1,926,33,30558,15078,2.026661,0,0,1.911,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_outside; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_order_outside_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_order_outside+synth_preset,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_outside.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_outside_synth_preset.aig,1,1,1,864,34,29376,15078,1.948269,0,0,4.145,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_outside; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_order_outside_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_order_outside+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_outside.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_outside_synth_preset_d20.aig,1,1,1,864,34,29376,15078,1.948269,0,0,1.111,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_outside; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_order_center_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_order_center+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_center.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_center_abc_g_aig.aig,1,1,1,969,35,33915,15078,2.249304,0,0,0.851,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_center; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_order_center_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_order_center+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_center.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_center_wreduce_abc_g_aig.aig,1,1,1,968,34,32912,15078,2.182783,0,0,0.878,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_center; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_order_center_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_order_center+synth_preset,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_order_center.v,student/work/ex273_ex274_frontend_square_bdd_order_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_order_center_synth_preset.aig,1,1,1,964,34,32776,15078,2.173763,0,0,1.089,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_order_center; flow=synth_preset
