case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex266,ex266_udiv_radix4_top1_shift_synth_preset,unsigned low5_high5:a/b dbz=max,radix4_top1_shift+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/verilog/ex266_udiv_radix4_top1_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top1_shift_synth_preset.aig,91,30,2730,848,3.219340,0,0,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_top1_shift; flow=synth_preset
ex267,ex267_udiv_radix4_top3_shift_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_top3_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/verilog/ex267_udiv_radix4_top3_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top3_shift_wreduce_abc_g_aig.aig,196,25,4900,2651,1.848359,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_shift; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_top3_shift_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_top3_shift+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/verilog/ex269_udiv_radix4_top3_shift.v,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top3_shift_wreduce_abc_g_aig.aig,373,56,20888,11760,1.776190,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_shift; flow=wreduce_abc_g_aig
