case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_radix4_top1_shift_abc_g_aig,1,95,29,2755,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top1_shift_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top1_shift; flow=abc_g_aig
ex266,ex266_udiv_radix4_top1_shift_wreduce_abc_g_aig,1,94,30,2820,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top1_shift_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top1_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_top1_shift_synth_preset,1,91,30,2730,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top1_shift_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top1_shift; flow=synth_preset
ex266,ex266_udiv_radix4_top2_shift_abc_g_aig,1,136,23,3128,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top2_shift_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top2_shift; flow=abc_g_aig
ex266,ex266_udiv_radix4_top2_shift_wreduce_abc_g_aig,1,135,22,2970,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top2_shift_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top2_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_top2_shift_synth_preset,1,140,23,3220,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top2_shift_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top2_shift; flow=synth_preset
ex266,ex266_udiv_radix4_top3_shift_abc_g_aig,1,136,23,3128,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top3_shift_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_shift; flow=abc_g_aig
ex266,ex266_udiv_radix4_top3_shift_wreduce_abc_g_aig,1,135,22,2970,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top3_shift_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_shift; flow=wreduce_abc_g_aig
ex266,ex266_udiv_radix4_top3_shift_synth_preset,1,140,23,3220,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top3_shift_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top3_shift; flow=synth_preset
ex267,ex267_udiv_radix4_top1_shift_abc_g_aig,1,146,42,6132,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top1_shift_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top1_shift; flow=abc_g_aig
ex267,ex267_udiv_radix4_top1_shift_wreduce_abc_g_aig,1,142,42,5964,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top1_shift_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top1_shift; flow=wreduce_abc_g_aig
