case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex256,ex256_umul_full_product_case_abc_g_aig,1,807,16,12912,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=abc_g_aig
ex256,ex256_umul_full_product_case_synth_preset_d13,1,791,14,11074,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=synth_preset_d13
ex256,ex256_umul_full_product_case_synth_preset_d14,1,791,14,11074,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_synth_preset_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=synth_preset_d14
ex256,ex256_umul_full_product_case_synth_preset_d18,1,791,14,11074,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=synth_preset_d18
ex256,ex256_umul_full_product_case_wreduce_abc_g_aig,1,807,16,12912,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_full_product_case_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=full_product_case; flow=wreduce_abc_g_aig
ex256,ex256_umul_per_bit_lut_abc_g_aig,1,817,15,12255,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=abc_g_aig
ex256,ex256_umul_per_bit_lut_synth_preset_d13,1,792,16,12672,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=synth_preset_d13
ex256,ex256_umul_per_bit_lut_synth_preset_d14,1,792,16,12672,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_synth_preset_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=synth_preset_d14
ex256,ex256_umul_per_bit_lut_synth_preset_d18,1,792,16,12672,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=synth_preset_d18
ex256,ex256_umul_per_bit_lut_wreduce_abc_g_aig,1,817,15,12255,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut; flow=wreduce_abc_g_aig
ex256,ex256_umul_per_bit_lut_low_formula_abc_g_aig,0,,,,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_low_formula_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut_low_formula; flow=abc_g_aig
ex256,ex256_umul_per_bit_lut_low_formula_synth_preset_d13,0,,,,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_low_formula_synth_preset_d13.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut_low_formula; flow=synth_preset_d13
ex256,ex256_umul_per_bit_lut_low_formula_synth_preset_d14,0,,,,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_low_formula_synth_preset_d14.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut_low_formula; flow=synth_preset_d14
ex256,ex256_umul_per_bit_lut_low_formula_synth_preset_d18,0,,,,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_low_formula_synth_preset_d18.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut_low_formula; flow=synth_preset_d18
ex256,ex256_umul_per_bit_lut_low_formula_wreduce_abc_g_aig,0,,,,student/work/ex256_frontend_umul_bit_lut_20260609_0118/ex256/aigs/ex256_umul_per_bit_lut_low_formula_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; focused source=per_bit_lut_low_formula; flow=wreduce_abc_g_aig
