case,output_bit,input_width,best_predicate,inverted,matching_rows,total_rows,exact
ex286,0,13,cnt[12:13)>=1,0,5073,8192,0
ex286,1,13,cnt[0:12)>=7,0,5086,8192,0
ex286,2,13,cnt[0:12)>=6,0,5048,8192,0
ex286,3,13,cnt[0:12)>=7,0,5060,8192,0
ex286,4,13,cnt[12:13)>=1,0,5203,8192,0
ex286,5,13,cnt[0:7)>=4,0,5216,8192,0
ex286,6,13,cnt[0:7)>=4,0,5216,8192,0
ex286,7,13,cnt[0:7)>=4,0,5216,8192,0
ex286,8,13,cnt[12:13)>=1,0,5167,8192,0
ex286,9,13,cnt[0:12)>=7,0,5086,8192,0
ex286,10,13,cnt[0:13)>=7,0,5050,8192,0
ex286,11,13,cnt[0:13)>=7,0,5062,8192,0
ex286,12,13,cnt[12:13)>=1,0,5037,8192,0
ex287,0,14,cnt[0:14)>=8,0,9809,16384,0
ex287,1,14,cnt[0:14)>=8,0,9933,16384,0
ex287,2,14,cnt[1:12)>=6,0,10106,16384,0
ex287,3,14,cnt[0:12)>=7,0,10142,16384,0
ex287,4,14,cnt[0:14)>=8,0,10063,16384,0
ex287,5,14,cnt[0:14)>=8,0,10123,16384,0
ex287,6,14,cnt[0:7)>=4,0,10432,16384,0
ex287,7,14,cnt[0:7)>=4,0,10432,16384,0
ex287,8,14,cnt[0:14)>=7,0,10127,16384,0
ex287,9,14,cnt[1:14)>=7,0,10081,16384,0
ex287,10,14,cnt[1:12)>=6,0,10106,16384,0
ex287,11,14,cnt[0:12)>=7,0,10142,16384,0
ex287,12,14,cnt[0:14)>=7,0,9909,16384,0
ex287,13,14,cnt[0:14)>=8,0,9823,16384,0
ex288,0,15,cnt[1:15)>=8,0,19575,32768,0
ex288,1,15,cnt[0:14)>=8,0,20050,32768,0
ex288,2,15,cnt[0:15)>=8,0,19283,32768,0
ex288,3,15,cnt[0:12)>=7,0,20220,32768,0
ex288,4,15,cnt[0:15)>=8,0,20149,32768,0
ex288,5,15,cnt[0:15)>=8,0,20048,32768,0
ex288,6,15,cnt[0:15)>=8,0,20147,32768,0
ex288,7,15,cnt[0:7)>=4,0,20864,32768,0
ex288,8,15,cnt[0:15)>=8,0,20081,32768,0
ex288,9,15,cnt[0:14)>=8,0,20050,32768,0
ex288,10,15,cnt[0:15)>=8,0,20295,32768,0
ex288,11,15,cnt[0:12)>=7,0,20220,32768,0
ex288,12,15,cnt[0:15)>=8,0,19337,32768,0
ex288,13,15,cnt[0:14)>=8,0,20002,32768,0
ex288,14,15,cnt[0:15)>=7,0,19728,32768,0
