case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop4_abc_g_aig_d16,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig_d16,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_abc_g_aig_d16.aig,1,1,1,800,35,28000,15078,1.857010,0,0,0.788,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=abc_g_aig_d16
ex273,ex273_square_hybrid_bddtop4_abc_g_aig_d20,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig_d20,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_abc_g_aig_d20.aig,1,1,1,800,35,28000,15078,1.857010,0,0,0.979,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=abc_g_aig_d20
ex273,ex273_square_hybrid_bddtop4_abc_g_aig_d24,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig_d24,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_abc_g_aig_d24.aig,1,1,1,800,35,28000,15078,1.857010,0,0,1.181,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=abc_g_aig_d24
ex273,ex273_square_hybrid_bddtop4_synth_preset_d16,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_d16,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset_d16.aig,1,1,1,798,33,26334,15078,1.746518,0,0,0.978,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset_d16
ex273,ex273_square_hybrid_bddtop4_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_d20,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset_d20.aig,1,1,1,798,33,26334,15078,1.746518,0,0,1.610,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_synth_preset_d24,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_d24,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset_d24.aig,1,1,1,798,33,26334,15078,1.746518,0,0,1.288,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset_d24
ex273,ex273_square_hybrid_bddtop5_abc_g_aig_d16,unsigned_square_x_times_x,hybrid_bddtop5+abc_g_aig_d16,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop5.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop5_abc_g_aig_d16.aig,1,1,1,888,33,29304,15078,1.943494,0,0,0.803,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5; flow=abc_g_aig_d16
ex273,ex273_square_hybrid_bddtop5_abc_g_aig_d20,unsigned_square_x_times_x,hybrid_bddtop5+abc_g_aig_d20,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop5.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop5_abc_g_aig_d20.aig,1,1,1,888,33,29304,15078,1.943494,0,0,0.809,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5; flow=abc_g_aig_d20
ex273,ex273_square_hybrid_bddtop5_abc_g_aig_d24,unsigned_square_x_times_x,hybrid_bddtop5+abc_g_aig_d24,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop5.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop5_abc_g_aig_d24.aig,1,1,1,888,33,29304,15078,1.943494,0,0,0.849,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5; flow=abc_g_aig_d24
ex273,ex273_square_hybrid_bddtop5_synth_preset_d16,unsigned_square_x_times_x,hybrid_bddtop5+synth_preset_d16,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop5.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop5_synth_preset_d16.aig,1,1,1,876,32,28032,15078,1.859133,0,0,1.019,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5; flow=synth_preset_d16
ex273,ex273_square_hybrid_bddtop5_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop5+synth_preset_d20,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop5.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop5_synth_preset_d20.aig,1,1,1,876,32,28032,15078,1.859133,0,0,0.998,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop5; flow=synth_preset_d20
