case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_booth_radix4_balanced_abc_g_aig,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex260/aigs/ex260_smul_booth_radix4_balanced_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d13,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_csa_cla_abc_g_aig,1,102,16,1632,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex260/aigs/ex260_smul_booth_radix4_csa_cla_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d13,1,102,16,1632,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_signed_abc_g_aig,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex260/aigs/ex260_smul_booth_radix4_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_signed_synth_preset_d13,1,103,16,1648,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex260/aigs/ex260_smul_booth_radix4_signed_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_signed; flow=synth_preset_d13
ex264,ex264_smul_booth_radix4_balanced_abc_g_aig,1,465,36,16740,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex264/aigs/ex264_smul_booth_radix4_balanced_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex264,ex264_smul_booth_radix4_balanced_synth_preset_d13,1,481,39,18759,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex264/aigs/ex264_smul_booth_radix4_balanced_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=booth_radix4_balanced; flow=synth_preset_d13
ex264,ex264_smul_booth_radix4_csa_cla_abc_g_aig,1,506,37,18722,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex264/aigs/ex264_smul_booth_radix4_csa_cla_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig
ex264,ex264_smul_booth_radix4_csa_cla_synth_preset_d13,1,499,38,18962,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex264/aigs/ex264_smul_booth_radix4_csa_cla_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d13
ex264,ex264_smul_booth_radix4_signed_abc_g_aig,1,446,40,17840,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex264/aigs/ex264_smul_booth_radix4_signed_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=booth_radix4_signed; flow=abc_g_aig
ex264,ex264_smul_booth_radix4_signed_synth_preset_d13,1,501,39,19539,student/work/ex260_ex264_frontend_smul_booth_parallel_smoke_20260609_0237/ex264/aigs/ex264_smul_booth_radix4_signed_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=booth_radix4_signed; flow=synth_preset_d13
