case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_mod_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.aig,1,1,1,242,29,7018,1.138,transform=prefix_parity_reduce; coord_mode=full_mod; emit_style=grouped; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=48; linear_xors=12; term_counts=1:3:5:7:9:11:13:19:23:24:27:26; hash=d75759749dad,unknown mux-coordinate ANF Verilog seed
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,1,1,1,221,28,6188,1.138,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=47; linear_xors=10; term_counts=1:3:5:7:9:11:13:19:20:24:22:22; hash=e8cea26df2f5,unknown mux-coordinate ANF Verilog seed
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.aig,1,1,1,246,29,7134,1.143,transform=prefix_parity_reduce; coord_mode=full_wrap_low_zero_high; emit_style=grouped; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=49; linear_xors=12; term_counts=1:3:5:7:9:11:13:19:22:24:26:26; hash=55dcb730e2f3,unknown mux-coordinate ANF Verilog seed
ex281,ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_mod_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/aigs/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.aig,1,1,1,274,37,10138,2.310,transform=prefix_parity_reduce; coord_mode=full_mod; emit_style=grouped; degree=2; coord_width=18; features=172; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12; inconsistent=0x0; grouped_ands=52; linear_xors=12; term_counts=1:3:5:7:9:11:13:15:21:25:26:29:28; hash=16463dba8755,unknown mux-coordinate ANF Verilog seed
ex281,ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/aigs/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,1,1,1,231,31,7161,2.375,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=18; features=172; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12; inconsistent=0x0; grouped_ands=51; linear_xors=10; term_counts=1:3:5:7:9:11:13:15:21:22:26:24:24; hash=8dc3ada607a4,unknown mux-coordinate ANF Verilog seed
ex281,ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/aigs/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.aig,1,1,1,267,35,9345,2.334,transform=prefix_parity_reduce; coord_mode=full_wrap_low_zero_high; emit_style=grouped; degree=2; coord_width=18; features=172; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12; inconsistent=0x0; grouped_ands=53; linear_xors=12; term_counts=1:3:5:7:9:11:13:15:21:24:26:28:28; hash=f4ff9897271a,unknown mux-coordinate ANF Verilog seed
ex282,ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_mod_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/aigs/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.aig,1,1,1,293,33,9669,5.070,transform=prefix_parity_reduce; coord_mode=full_mod; emit_style=grouped; degree=2; coord_width=19; features=191; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13; inconsistent=0x0; grouped_ands=56; linear_xors=12; term_counts=1:3:5:7:9:11:13:15:17:23:27:28:31:30; hash=11bc6a34559f,unknown mux-coordinate ANF Verilog seed
ex282,ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/aigs/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,1,1,1,257,31,7967,5.061,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=19; features=191; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13; inconsistent=0x0; grouped_ands=55; linear_xors=10; term_counts=1:3:5:7:9:11:13:15:17:23:24:28:26:26; hash=d90a35089702,unknown mux-coordinate ANF Verilog seed
ex282,ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/aigs/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.aig,1,1,1,308,33,10164,5.104,transform=prefix_parity_reduce; coord_mode=full_wrap_low_zero_high; emit_style=grouped; degree=2; coord_width=19; features=191; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13; inconsistent=0x0; grouped_ands=57; linear_xors=12; term_counts=1:3:5:7:9:11:13:15:17:23:26:28:30:30; hash=c30b85871ff4,unknown mux-coordinate ANF Verilog seed
ex283,ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_mod_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/aigs/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_mod_grouped_deg2.aig,1,1,1,293,37,10841,11.455,transform=prefix_parity_reduce; coord_mode=full_mod; emit_style=grouped; degree=2; coord_width=20; features=211; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; inconsistent=0x0; grouped_ands=60; linear_xors=12; term_counts=1:3:5:7:9:11:13:15:17:19:25:29:30:33:32; hash=ad9d1b34aef7,unknown mux-coordinate ANF Verilog seed
ex283,ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/aigs/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,1,1,1,284,35,9940,11.474,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=20; features=211; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; inconsistent=0x0; grouped_ands=59; linear_xors=10; term_counts=1:3:5:7:9:11:13:15:17:19:25:26:30:28:28; hash=14b5d0079b53,unknown mux-coordinate ANF Verilog seed
