case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex280/aigs/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,221,28,6188,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=17; features=154; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11; inconsistent=0x0; grouped_ands=47; linear_xors=10; term_counts=1:3:5:7:9:11:13:19:20:24:22:22; hash=e8cea26df2f5,unknown mux-coordinate ANF Verilog seed
ex281,ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex281/aigs/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,231,31,7161,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=18; features=172; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12; inconsistent=0x0; grouped_ands=51; linear_xors=10; term_counts=1:3:5:7:9:11:13:15:21:22:26:24:24; hash=8dc3ada607a4,unknown mux-coordinate ANF Verilog seed
ex282,ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex282/aigs/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,257,31,7967,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=19; features=191; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13; inconsistent=0x0; grouped_ands=55; linear_xors=10; term_counts=1:3:5:7:9:11:13:15:17:23:24:28:26:26; hash=d90a35089702,unknown mux-coordinate ANF Verilog seed
ex283,ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex283/aigs/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,284,35,9940,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=20; features=211; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; inconsistent=0x0; grouped_ands=59; linear_xors=10; term_counts=1:3:5:7:9:11:13:15:17:19:25:26:30:28:28; hash=14b5d0079b53,unknown mux-coordinate ANF Verilog seed
ex284,ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2,unknown_muxcoord_anf,prefix_parity_reduce_full_clamp_grouped_deg2,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.v,student/work/ex280_ex284_frontend_muxcoord_grouped_20260609_0117/ex284/aigs/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_clamp_grouped_deg2.aig,289,37,10693,transform=prefix_parity_reduce; coord_mode=full_clamp; emit_style=grouped; degree=2; coord_width=21; features=232; ok_bits=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; inconsistent=0x0; grouped_ands=63; linear_xors=10; term_counts=1:3:5:7:9:11:13:15:17:19:21:27:28:32:30:30; hash=72cd4c9e4e53,unknown mux-coordinate ANF Verilog seed
