case,metric,key,value,detail
ex286,affine_perm_duality,pin=12:11:10:9:8:7:6:5:4:3:2:1:0;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1fff;omask=0x1fff,38,bit_matches=56888/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fbf
ex286,affine_perm_duality,pin=12:11:10:9:7:8:5:6:4:3:2:1:0;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1fff;omask=0x1fff,38,bit_matches=56888/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fbf
ex286,affine_perm_duality,pin=12:11:10:9:8:6:7:4:5:3:2:1:0;pout=12:11:10:9:8:7:6:5:4:3:2:1:0;imask=0x1fff;omask=0x1fff,38,bit_matches=56888/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fbf
ex286,affine_perm_duality,pin=12:11:10:9:8:7:6:5:4:3:2:1:0;pout=0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x1fff,24,bit_matches=55676/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fbf
ex286,affine_perm_duality,pin=12:11:10:9:7:8:5:6:4:3:2:1:0;pout=0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x1fff,24,bit_matches=55676/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fbf
ex286,affine_perm_duality,pin=12:11:10:9:8:6:7:4:5:3:2:1:0;pout=0:1:2:3:4:5:6:7:8:9:10:11:12;imask=0x1fff;omask=0x1fff,24,bit_matches=55676/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fbf
ex286,affine_perm_duality,pin=12:11:10:9:8:7:6:5:4:3:2:1:0;pout=12:11:10:9:7:8:5:6:4:3:2:1:0;imask=0x1fff;omask=0x1fff,15,bit_matches=57972/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fdf
ex286,affine_perm_duality,pin=12:11:10:9:8:7:6:5:4:3:2:1:0;pout=12:11:10:9:8:6:7:4:5:3:2:1:0;imask=0x1fff;omask=0x1fff,15,bit_matches=57972/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1f7f
ex286,affine_perm_duality,pin=12:11:10:9:7:8:5:6:4:3:2:1:0;pout=12:11:10:9:7:8:5:6:4:3:2:1:0;imask=0x1fff;omask=0x1fff,15,bit_matches=57972/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fdf
ex286,affine_perm_duality,pin=12:11:10:9:7:8:5:6:4:3:2:1:0;pout=12:11:10:9:8:6:7:4:5:3:2:1:0;imask=0x1fff;omask=0x1fff,15,bit_matches=57972/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1f7f
ex286,affine_perm_duality,pin=12:11:10:9:8:6:7:4:5:3:2:1:0;pout=12:11:10:9:7:8:5:6:4:3:2:1:0;imask=0x1fff;omask=0x1fff,15,bit_matches=57972/106496;first=x=0x1;xp=0xfff;y=0x40;got=0x1fef;expected=0x1fdf
