case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop4_abc_g_aig_d12,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig_d12,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_abc_g_aig_d12.aig,1,1,1,800,35,28000,15078,1.857010,0,0,0.771,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=abc_g_aig_d12
ex273,ex273_square_hybrid_bddtop4_abc_g_aig_d14,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig_d14,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_abc_g_aig_d14.aig,1,1,1,800,35,28000,15078,1.857010,0,0,0.776,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=abc_g_aig_d14
ex273,ex273_square_hybrid_bddtop4_synth_preset_d12,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_d12,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset_d12.aig,1,1,1,798,33,26334,15078,1.746518,0,0,0.987,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset_d12
ex273,ex273_square_hybrid_bddtop4_synth_preset_d14,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_d14,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_synth_preset_d14.aig,1,1,1,798,33,26334,15078,1.746518,0,0,1.018,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4; flow=synth_preset_d14
ex273,ex273_square_hybrid_bddtop4_perbit_abc_g_aig_d12,unsigned_square_x_times_x,hybrid_bddtop4_perbit+abc_g_aig_d12,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_perbit.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_perbit_abc_g_aig_d12.aig,1,1,1,799,35,27965,15078,1.854689,0,0,0.816,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_perbit; flow=abc_g_aig_d12
ex273,ex273_square_hybrid_bddtop4_perbit_abc_g_aig_d14,unsigned_square_x_times_x,hybrid_bddtop4_perbit+abc_g_aig_d14,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_perbit.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_perbit_abc_g_aig_d14.aig,1,1,1,799,35,27965,15078,1.854689,0,0,0.825,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_perbit; flow=abc_g_aig_d14
ex273,ex273_square_hybrid_bddtop4_perbit_synth_preset_d12,unsigned_square_x_times_x,hybrid_bddtop4_perbit+synth_preset_d12,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_perbit.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_perbit_synth_preset_d12.aig,1,1,1,795,34,27030,15078,1.792678,0,0,1.032,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_perbit; flow=synth_preset_d12
ex273,ex273_square_hybrid_bddtop4_perbit_synth_preset_d14,unsigned_square_x_times_x,hybrid_bddtop4_perbit+synth_preset_d14,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_perbit.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_perbit_synth_preset_d14.aig,1,1,1,795,34,27030,15078,1.792678,0,0,1.032,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_perbit; flow=synth_preset_d14
ex273,ex273_square_hybrid_bddtop2_trunc_abc_g_aig_d12,unsigned_square_x_times_x,hybrid_bddtop2_trunc+abc_g_aig_d12,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_abc_g_aig_d12.aig,1,1,1,739,36,26604,15078,1.764425,0,0,0.785,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=abc_g_aig_d12
ex273,ex273_square_hybrid_bddtop2_trunc_abc_g_aig_d14,unsigned_square_x_times_x,hybrid_bddtop2_trunc+abc_g_aig_d14,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_abc_g_aig_d14.aig,1,1,1,739,36,26604,15078,1.764425,0,0,0.778,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=abc_g_aig_d14
ex273,ex273_square_hybrid_bddtop2_trunc_synth_preset_d12,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset_d12,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_best_lowdelay_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_synth_preset_d12.aig,1,1,1,735,36,26460,15078,1.754875,0,0,0.973,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset_d12
