case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx1+abc_g_aig,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx1.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.220,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx1.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx1.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d11.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.275,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx1.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.275,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx1+abc_g_aig_d9,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx1.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig_d9.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx1+abc_g_aig_d11,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx1.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig_d11.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx2+abc_g_aig,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx2.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx2+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx2.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx2+synth_preset_d11,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx2.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_synth_preset_d11.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.276,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx2+synth_preset_d13,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx2.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.277,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_pfx2+abc_g_aig_d9,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_pfx2.v,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_pfx2_abc_g_aig_d9.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_pfx2; flow=abc_g_aig_d9
