case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11,1,88,13,1144,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,1,91,14,1274,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,1,93,14,1302,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,1,93,14,1302,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,1,93,14,1302,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d9,1,91,14,1274,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d11,1,91,14,1274,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig_d11
ex263,ex263_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig,1,368,26,9568,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_pfx1_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_pfx1_wreduce_abc_g_aig,1,368,26,9568,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_pfx1_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d11,1,366,26,9516,student/work/ex260_ex263_frontend_smul_order_pfx_refine_20260609_0640/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_pfx1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_pfx1; flow=synth_preset_d11
