case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,method_signature,testbench_path,sim_command,sim_pass,vectors_tested,failure_summary,shard_csv,domain,simulation_pass
ex223,ex223_r71_small_special_currentbase_abc_g_aig,,,,,sub-fp16-int-local-r71,,ex223|fp16_log_small_special_currentbase|compact_special_shell_no_lower_patch|shared_special_predicates_over_current_source|yosys_abc_g_aig|abc_xf_official_evaluate|local_special_only,not_emitted,not_run; official evaluate.py only,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp16-int-local-r71/simulation_results.csv,,
ex223,ex223_r71_signbit_formula_currentbase_abc_g_aig,,,,,sub-fp16-int-local-r71,,ex223|fp16_log_signbit_currentbase|exact_sign_formula_no_lower_patch|shared_sign_exp_predicate_over_current_source|yosys_abc_g_aig|abc_xf_official_evaluate|local_sign_only,not_emitted,not_run; official evaluate.py only,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp16-int-local-r71/simulation_results.csv,,
ex225,ex225_r71_small_special_currentbase_abc_g_aig,,,,,sub-fp16-int-local-r71,,ex225|fp16_log10_small_special_currentbase|compact_special_shell_no_lower_patch|shared_special_predicates_over_current_source|yosys_abc_g_aig|abc_xf_official_evaluate|local_special_only,not_emitted,not_run; official evaluate.py only,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp16-int-local-r71/simulation_results.csv,,
ex225,ex225_r71_signbit_formula_currentbase_abc_g_aig,,,,,sub-fp16-int-local-r71,,ex225|fp16_log10_signbit_currentbase|exact_sign_formula_no_lower_patch|shared_sign_exp_predicate_over_current_source|yosys_abc_g_aig|abc_xf_official_evaluate|local_sign_only,not_emitted,not_run; official evaluate.py only,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp16-int-local-r71/simulation_results.csv,,
ex260,ex260_r71_offset_unsigned_csa_abc_g_aig,,,,,sub-fp16-int-local-r71,,ex260|signed_product_offset_csa|unsigned_core_plus_muxed_offset_terms|shared_unsigned_core_and_correction_terms|yosys_abc_g_aig|signed_low4_high4_multiply|product_word,not_emitted,not_run; official evaluate.py only,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp16-int-local-r71/simulation_results.csv,,
ex260,ex260_r71_current_high_bdd_b7_b6_abc_g_aig,,,,,sub-fp16-int-local-r71,,ex260|signed_product_selected_high_cones_currentbase|exact_b7_b6_bdd_cones|shared_current_source_plus_local_highbit_bdd|yosys_abc_g_aig|signed_low4_high4_multiply|local_high_bits,not_emitted,not_run; official evaluate.py only,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp16-int-local-r71/simulation_results.csv,,
ex266,ex266_r71_top_compare_currentbase_abc_g_aig,,,,,sub-fp16-int-local-r71,,ex266|bounded_top_quotient_compare_sharing|top_q4_q3_ge_8_16_24b_currentbase|shared_top_compare_terms_not_full_threshold|yosys_abc_g_aig|unsigned_low5_high5_div_dbz_sat|local_top_bits,not_emitted,not_run; official evaluate.py only,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp16-int-local-r71/simulation_results.csv,,
ex266,ex266_r71_remainder_lowbits_currentbase_synth_preset_d10,,,,,sub-fp16-int-local-r71,,ex266|bounded_low_quotient_remainder_sharing|current_highq_remainder_q1_q0|shared_current_highq_and_bounded_subtract_terms|yosys_synth_preset_d10|unsigned_low5_high5_div_dbz_sat|local_low_bits,not_emitted,not_run; official evaluate.py only,not_run,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp16-int-local-r71/simulation_results.csv,,
ex240,ex240_r71_inline_output_caseattrs,,,,,sub-fp8-mid-local-r71,,ex240|E4M3FN packed add|inline_output_caseattrs|shared_sorted_field_decode_grs_diffnorm|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,not_run,not_run,0,iverilog_not_available_debug_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-mid-local-r71/simulation_results.csv,,
ex240,ex240_r71_diffnorm_key_gate,,,,,sub-fp8-mid-local-r71,,ex240|E4M3FN packed add|diffnorm_key_gate|shared_sorted_field_decode_active_diffnorm|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,not_run,not_run,0,iverilog_not_available_debug_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-mid-local-r71/simulation_results.csv,,
ex241,ex241_r71_caseattrs_outputsplit,,,,,sub-fp8-mid-local-r71,,ex241|E4M3FN packed multiply|caseattrs_outputsplit|shared_exp_sum_product_table|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,not_run,not_run,0,iverilog_not_available_debug_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-mid-local-r71/simulation_results.csv,,
ex241,ex241_r71_product_zero_gate,,,,,sub-fp8-mid-local-r71,,ex241|E4M3FN packed multiply|product_zero_gate|shared_exp_sum_product_table_zero_bypass|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,not_run,not_run,0,iverilog_not_available_debug_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-mid-local-r71/simulation_results.csv,,
ex242,ex242_r71_caseattrs_outputsplit,,,,,sub-fp8-mid-local-r71,,ex242|E4M3FN packed low-over-high division|caseattrs_outputsplit|shared_delta_sig_sparse_table|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,not_run,not_run,0,iverilog_not_available_debug_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-mid-local-r71/simulation_results.csv,,
ex242,ex242_r71_table_key_gate,,,,,sub-fp8-mid-local-r71,,ex242|E4M3FN packed low-over-high division|table_key_gate|shared_special_decode_delta_sig_table|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,not_run,not_run,0,iverilog_not_available_debug_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-mid-local-r71/simulation_results.csv,,
ex245,ex245_r71_caseattrs_outputsplit,,,,,sub-fp8-mid-local-r71,,ex245|E5M2FN packed add|caseattrs_outputsplit|shared_sorted_field_decode_smallgap_class|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,not_run,not_run,0,iverilog_not_available_debug_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-mid-local-r71/simulation_results.csv,,
ex245,ex245_r71_class_key_gate,,,,,sub-fp8-mid-local-r71,,ex245|E5M2FN packed add|class_key_gate|shared_sorted_field_decode_gated_smallgap_tables|repo_yosys_frontend_synth_preset|official_evaluate|full_word,,not_run,not_run,0,iverilog_not_available_debug_only,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-mid-local-r71/simulation_results.csv,,
