case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop2_colcsel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_colcsel4+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_colcsel4_abc_g_aig.aig,1,1,1,3079,79,243241,15078,16.132179,0,0,10.052,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_colcsel4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_colcsel4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_colcsel4+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_colcsel4_synth_preset.aig,1,1,1,1989,71,141219,15078,9.365897,0,0,3.233,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_colcsel4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop3_colcsel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_colcsel4+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_colcsel4_abc_g_aig.aig,1,1,1,3074,77,236698,15078,15.698236,0,0,9.251,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_colcsel4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_colcsel4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_colcsel4+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_colcsel4_synth_preset.aig,1,1,1,2007,68,136476,15078,9.051333,0,0,3.210,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_colcsel4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_colcsel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_colcsel4+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_colcsel4_abc_g_aig.aig,1,1,1,3015,76,229140,15078,15.196976,0,0,9.502,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_colcsel4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_colcsel4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_colcsel4+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_colcsel4_synth_preset.aig,1,1,1,1998,66,131868,15078,8.745722,0,0,3.034,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_colcsel4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_colcsel5_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_colcsel5+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_colcsel5.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_colcsel5_abc_g_aig.aig,1,1,1,3365,89,299485,15078,19.862382,0,0,9.432,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_colcsel5; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_colcsel5_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_colcsel5+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_colcsel5.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_colcsel5_synth_preset.aig,1,1,1,2183,71,154993,15078,10.279414,0,0,3.485,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_colcsel5; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_colcsel5_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_colcsel5+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_colcsel5.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_colcsel5_abc_g_aig.aig,1,1,1,3396,86,292056,15078,19.369678,0,0,10.111,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_colcsel5; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_colcsel5_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_colcsel5+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_colcsel5.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_colcsel5_synth_preset.aig,1,1,1,2144,69,147936,15078,9.811381,0,0,3.078,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_colcsel5; flow=synth_preset
ex273,ex273_square_hybrid_bddtop2_colcsel6_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_colcsel6+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_colcsel6.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_colcsel6_abc_g_aig.aig,1,1,1,3507,102,357714,15078,23.724234,0,0,11.846,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_colcsel6; flow=abc_g_aig
