case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex240,ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/verilog/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex240/aigs/ex240_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.aig,2786,26,72436,order_name=order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8; order=7:15:6:14:5:13:4:12:3:11:2:10:1:9:0:8; bdd_nodes=1668,unknown function shared-BDD Verilog seed
ex241,ex241_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/verilog/ex241_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex241/aigs/ex241_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.aig,1506,21,31626,order_name=order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8; order=7:15:6:14:5:13:4:12:3:11:2:10:1:9:0:8; bdd_nodes=995,unknown function shared-BDD Verilog seed
ex242,ex242_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,unknown_shared_bdd_16x8,order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex242/verilog/ex242_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.v,student/work/ex240_ex242_frontend_fp8_bdd_orders_20260608_1253/ex242/aigs/ex242_unknown_shared_bdd_16x8_order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8.aig,1560,22,34320,order_name=order_7_15_6_14_5_13_4_12_3_11_2_10_1_9_0_8; order=7:15:6:14:5:13:4:12:3:11:2:10:1:9:0:8; bdd_nodes=993,unknown function shared-BDD Verilog seed
