case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex223,ex223_fp16_log_bitrun_sign_t8,fp16_log,bitrun_sign_t8,student/work/ex223_ex224_frontend_fp16_bitlogic2_20260606_2341/ex223/verilog/ex223_fp16_log_bitrun_sign_t8.v,student/work/ex223_ex224_frontend_fp16_bitlogic2_20260606_2341/ex223/aigs/ex223_fp16_log_bitrun_sign_t8.aig,1,1,11222,22,246884,120549,2.047997,0,0,structural_exact,per-output-bit run-cover hybrid; bits=15; threshold=8; table_items=31777; bit=15; threshold=8; const_groups=64; range_groups=0; table_groups=0; range_items=0; table_items=0
ex224,ex224_fp16_log2_bitrun_sign_t8,fp16_log2,bitrun_sign_t8,student/work/ex223_ex224_frontend_fp16_bitlogic2_20260606_2341/ex224/verilog/ex224_fp16_log2_bitrun_sign_t8.v,student/work/ex223_ex224_frontend_fp16_bitlogic2_20260606_2341/ex224/aigs/ex224_fp16_log2_bitrun_sign_t8.aig,1,1,6336,21,133056,64708,2.056253,0,0,structural_exact,per-output-bit run-cover hybrid; bits=15; threshold=8; table_items=31777; bit=15; threshold=8; const_groups=64; range_groups=0; table_groups=0; range_items=0; table_items=0
