case,hypothesis/function_guess,candidate_count,verified_truth_count,synthesized_count,equivalent_count,semantic_exact_count,semantic_hybrid_count,structural_exact_count,best_candidate_id,best_variant,best_classification,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,top5,notes
ex223,fp16_log,8,8,8,8,0,0,8,ex223_fp16_log_bitrun_sign_t8,bitrun_sign_t8,structural_exact,11222,22,246884,120549,2.047997,0,0,bitrun_sign_t8:246884; formula_sign:257830; bitrun_exp_t16:259785; bitrun_high8_t64:261970; bitrun_high10_t128:267513,
ex224,fp16_log2,8,8,8,8,0,0,8,ex224_fp16_log2_bitrun_sign_t8,bitrun_sign_t8,structural_exact,6336,21,133056,64708,2.056253,0,0,bitrun_sign_t8:133056; formula_sign:133350; bitrun_high9_t128:138642; bitrun_exp_t16:140030; bitrun_high8_t64:140536,
