case,output_bit,input_width,feature_mode,matching_rows,total_rows,exact,epochs,weights
ex288,0,15,raw01,17844,32768,0,4,-7:6:3:6:5:2:3:1:0:1:2:-1:9:-1:-3:-2
ex288,0,15,rawpm,16211,32768,0,4,-2:6:0:6:0:2:4:2:0:2:0:2:0:0:4:2
ex288,0,15,symkey01,17998,32768,0,4,-9:3:1:1:4:0:2:6:-1:8:3:0:10:-1:-7:0
ex288,0,15,symkeypm,18051,32768,0,4,-1:3:3:1:3:-1:1:3:-1:5:1:3:3:1:-1:7
ex288,1,15,raw01,17731,32768,0,4,-7:14:-7:1:-3:1:1:2:5:2:3:5:-4:4:6:-9
ex288,1,15,rawpm,15749,32768,0,4,-2:10:-6:2:-4:0:4:2:4:0:2:2:0:0:0:-2
ex288,1,15,symkey01,17698,32768,0,4,-7:-2:1:1:2:0:2:16:-4:4:-3:4:-5:3:6:-5
ex288,1,15,symkeypm,17410,32768,0,4,1:1:3:1:1:-1:1:11:-5:1:-3:5:3:3:3:1
ex288,2,15,raw01,15940,32768,0,4,-7:-13:5:11:3:2:1:3:6:3:2:0:5:4:-4:-6
ex288,2,15,rawpm,17531,32768,0,4,0:-6:6:6:0:2:0:2:4:-2:2:2:0:0:0:2
ex288,2,15,symkey01,16143,32768,0,4,-8:0:1:0:6:0:3:-13:10:11:3:-1:6:6:-2:-9
ex288,2,15,symkeypm,15910,32768,0,4,0:2:2:0:2:0:2:-8:6:8:0:2:4:0:-6:2
ex288,3,15,raw01,17617,32768,0,4,-6:2:-1:13:14:2:1:6:8:-2:2:3:-4:-2:-3:-9
ex288,3,15,rawpm,18612,32768,0,4,0:-2:0:8:10:2:0:2:4:2:4:0:2:0:-2:0
ex288,3,15,symkey01,17183,32768,0,4,-9:2:3:4:5:-1:2:0:-1:13:13:2:-5:-4:-2:-5
ex288,3,15,symkeypm,17744,32768,0,4,1:1:3:3:3:-1:1:1:1:9:9:3:3:1:-5:-1
ex288,4,15,raw01,16470,32768,0,4,-9:-2:9:-3:-4:3:9:3:4:-1:0:-1:7:-4:4:-3
ex288,4,15,rawpm,15770,32768,0,4,2:-2:6:-2:-4:2:8:0:4:2:2:0:0:0:0:2
ex288,4,15,symkey01,17804,32768,0,4,-12:-3:10:2:3:0:2:-3:8:-2:-3:-2:7:-1:2:4
ex288,4,15,symkeypm,16329,32768,0,4,0:-4:6:0:2:4:2:-2:2:0:-2:0:0:-2:2:8
ex288,5,15,raw01,17365,32768,0,4,-3:11:0:3:-3:2:12:0:2:2:2:4:-4:0:7:-9
ex288,5,15,rawpm,16011,32768,0,4,-2:10:-2:2:-2:2:8:2:2:2:0:0:0:0:2:0
ex288,5,15,symkey01,17785,32768,0,4,-6:0:10:1:5:-1:3:11:-1:4:-4:4:-5:2:4:-3
ex288,5,15,symkeypm,17213,32768,0,4,1:-1:5:1:1:1:-1:7:-3:5:-3:-1:1:1:3:5
ex288,6,15,raw01,16783,32768,0,4,-13:-10:2:7:-12:-2:6:1:10:0:3:-3:9:3:11:-3
ex288,6,15,rawpm,15506,32768,0,4,0:-8:2:4:-8:-2:2:2:8:0:4:0:2:2:2:2
ex288,6,15,symkey01,17437,32768,0,4,-11:-8:5:-1:8:-3:3:-11:3:7:-11:0:10:2:9:2
ex288,6,15,symkeypm,17545,32768,0,4,0:-6:4:-4:4:2:0:-8:0:6:-6:0:0:2:6:10
ex288,7,15,raw01,19688,32768,0,4,-12:21:-7:8:-4:9:0:11:9:-2:0:-2:-11:0:5:0
ex288,7,15,rawpm,18632,32768,0,4,0:14:-2:10:-2:8:6:6:4:0:0:0:-2:0:0:-2
ex288,7,15,symkey01,18950,32768,0,4,-11:13:5:15:9:1:-1:18:-5:8:-8:1:-10:-3:0:1
ex288,7,15,symkeypm,18760,32768,0,4,0:10:4:12:4:0:0:14:-2:6:-2:2:-2:-2:0:0
ex288,8,15,raw01,17448,32768,0,4,-14:-3:6:5:-2:1:-1:-1:0:3:4:4:8:-2:-5:9
ex288,8,15,rawpm,17433,32768,0,4,0:0:4:4:4:0:0:-2:0:2:4:4:-2:-6:2:0
ex288,8,15,symkey01,17014,32768,0,4,-13:-1:-1:0:0:3:4:-2:5:7:-1:2:7:0:-6:7
ex288,8,15,symkeypm,17429,32768,0,4,0:0:0:0:2:2:2:0:4:0:4:2:-2:-4:6:-2
ex288,9,15,raw01,17854,32768,0,4,-10:12:6:-7:8:2:2:0:-1:2:2:1:-9:4:2:6
ex288,9,15,rawpm,17603,32768,0,4,-1:9:3:-1:7:1:-1:1:1:1:3:-1:5:1:1:1
ex288,9,15,symkey01,17765,32768,0,4,-10:1:1:0:-1:3:1:12:4:-7:9:3:-8:6:3:2
ex288,9,15,symkeypm,18628,32768,0,4,-3:1:1:1:3:3:3:9:1:-1:7:-1:5:3:3:-1
ex288,10,15,raw01,17569,32768,0,4,-19:-14:7:-14:13:-1:1:-1:1:6:3:0:9:4:1:15
ex288,10,15,rawpm,16110,32768,0,4,3:-13:1:-13:11:-1:-1:-1:-1:3:1:1:-1:5:3:7
ex288,10,15,symkey01,17705,32768,0,4,-17:0:1:-1:-2:7:5:-11:7:-13:16:0:9:4:3:12
ex288,10,15,symkeypm,16075,32768,0,4,0:-2:0:-2:0:4:2:-12:2:-12:12:2:0:6:16:4
ex288,11,15,raw01,18541,32768,0,4,-8:14:0:-3:10:-1:2:0:1:5:5:8:-9:1:-4:7
ex288,11,15,rawpm,17767,32768,0,4,-1:13:-1:-7:11:-1:-3:1:1:7:7:3:1:1:1:1
ex288,11,15,symkey01,18493,32768,0,4,-8:-2:0:-1:0:7:5:15:-1:-2:11:6:-7:-3:-2:5
ex288,11,15,symkeypm,17614,32768,0,4,-1:-3:1:-1:-1:7:5:13:1:-7:11:3:1:1:7:1
ex288,12,15,raw01,17300,32768,0,4,-12:-4:9:-2:7:3:2:-1:0:3:3:-1:9:-2:0:9
ex288,12,15,rawpm,16610,32768,0,4,1:-1:7:-1:3:3:3:1:-1:1:1:1:1:-1:3:1
ex288,12,15,symkey01,16950,32768,0,4,-9:4:1:0:2:4:1:-4:8:-3:6:-1:6:-1:0:6
ex288,12,15,symkeypm,16564,32768,0,4,-1:5:1:-3:-1:1:1:-3:5:-1:3:1:3:5:-3:1
ex288,13,15,raw01,17915,32768,0,4,-7:9:4:0:2:5:1:3:0:2:0:1:-6:1:2:6
ex288,13,15,rawpm,15052,32768,0,4,-2:4:2:-2:0:2:0:0:0:0:2:2:2:2:0:0
ex288,13,15,symkey01,18090,32768,0,4,-8:7:1:1:2:1:1:6:4:-1:2:4:-8:2:6:0
ex288,13,15,symkeypm,16589,32768,0,4,0:4:2:2:0:2:2:8:4:0:2:0:2:6:-2:-4
ex288,14,15,raw01,16051,32768,0,4,-8:-9:-1:-2:6:8:1:8:-1:4:3:1:9:3:4:-1
