case,output_bit,input_width,feature_mode,matching_rows,total_rows,exact,epochs,weights
ex286,0,13,raw01,4370,8192,0,6,-6:5:0:4:3:2:3:1:2:2:7:-3:-1:0
ex286,0,13,rawpm,4909,8192,0,6,-2:4:-2:6:2:4:2:0:0:2:0:4:2:4
ex286,0,13,symkey01,4311,8192,0,6,-6:0:1:0:1:3:0:6:4:0:6:-3:-3:2
ex286,0,13,symkeypm,4649,8192,0,6,1:1:3:3:1:5:-1:3:1:1:1:3:1:5
ex286,1,13,raw01,4330,8192,0,6,-4:11:-4:2:-3:1:2:2:6:4:-1:-2:4:-7
ex286,1,13,rawpm,3864,8192,0,6,0:8:-6:2:-4:2:2:2:2:0:2:2:0:0
ex286,1,13,symkey01,4286,8192,0,6,-6:-2:3:5:2:14:-5:2:-5:4:-2:-1:5:-6
ex286,1,13,symkeypm,4044,8192,0,6,1:-1:1:3:-1:7:-5:3:-3:3:3:1:-1:1
ex286,2,13,raw01,4379,8192,0,6,-9:-11:8:10:1:1:0:4:7:1:8:7:-5:-13
ex286,2,13,rawpm,4512,8192,0,6,0:-8:4:6:0:2:2:2:4:2:4:2:0:-2
ex286,2,13,symkey01,4340,8192,0,6,-8:2:1:3:5:-11:6:9:5:0:9:7:-4:-10
ex286,2,13,symkeypm,4278,8192,0,6,1:1:3:1:3:-5:5:5:-1:1:3:3:-1:-1
ex286,3,13,raw01,4337,8192,0,6,-4:-1:0:10:12:0:2:3:5:1:-4:4:-1:-7
ex286,3,13,rawpm,4405,8192,0,6,1:1:1:7:9:1:1:1:3:1:3:3:-1:-3
ex286,3,13,symkey01,4220,8192,0,6,-5:1:1:1:1:0:0:11:12:2:-5:3:-2:-7
ex286,3,13,symkeypm,4361,8192,0,6,1:3:-1:3:3:-1:-1:7:7:3:3:3:-3:-3
ex286,4,13,raw01,4223,8192,0,6,-10:-3:7:-2:-5:3:9:0:5:-2:6:-2:4:0
ex286,4,13,rawpm,4839,8192,0,6,0:-4:4:0:-2:0:6:0:4:4:2:-2:4:6
ex286,4,13,symkey01,4187,8192,0,6,-6:0:8:1:3:-3:7:-2:-5:0:7:1:6:1
ex286,4,13,symkeypm,4576,8192,0,6,1:-3:5:-3:3:-3:5:-1:-1:3:1:-1:5:7
ex286,5,13,raw01,5031,8192,0,6,-9:13:4:3:-1:6:9:3:3:1:-6:-4:1:-1
ex286,5,13,rawpm,4688,8192,0,6,1:9:3:3:1:3:7:3:-1:-1:3:1:1:-1
ex286,5,13,symkey01,5018,8192,0,6,-7:6:8:4:3:13:4:1:-3:-1:-5:-3:0:0
ex286,5,13,symkeypm,4612,8192,0,6,0:4:6:6:2:10:2:4:-2:0:-2:2:0:0
ex286,6,13,raw01,4378,8192,0,6,-17:-13:-1:4:-4:7:3:5:6:0:7:4:7:-2
