case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first_onehot,730,29,21170,2415,8.766046,17220,3950,0,prefix_parity_reduce_top4_first_onehot,transform=prefix_parity_reduce; outer_bits=0:11:1:10; inner_bits=2:3:4:5:6:7:8:9; class_encoding=first; outer_states=16; class_count=14; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15; mux_style=onehot; old_group_bdd_nodes=2722; unique_group_bdd_nodes=2376; group_bdd_nodes=163:164:167:167:173:166:167:170:170:173:173:176:179:168; hash=dbdc0ac3f6ae,unknown canonical prefix-key cofactor-BDD Verilog seed
ex281,ex281_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first_onehot,901,31,27931,2336,11.956764,20592,7339,0,prefix_parity_reduce_top4_first_onehot,transform=prefix_parity_reduce; outer_bits=0:12:1:11; inner_bits=2:3:4:5:6:7:8:9:10; class_encoding=first; outer_states=16; class_count=14; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15; mux_style=onehot; old_group_bdd_nodes=3790; unique_group_bdd_nodes=3310; group_bdd_nodes=229:230:233:234:240:232:234:237:237:240:240:243:246:235; hash=ddd2f0bb7e18,unknown canonical prefix-key cofactor-BDD Verilog seed
ex282,ex282_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first_onehot,1018,37,37666,2704,13.929734,29812,7854,0,prefix_parity_reduce_top4_first_onehot,transform=prefix_parity_reduce; outer_bits=0:13:1:12; inner_bits=2:3:4:5:6:7:8:9:10:11; class_encoding=first; outer_states=16; class_count=14; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15; mux_style=onehot; old_group_bdd_nodes=4766; unique_group_bdd_nodes=4164; group_bdd_nodes=290:291:294:295:301:293:295:298:298:301:301:304:307:296; hash=d31c7717ce1b,unknown canonical prefix-key cofactor-BDD Verilog seed
ex283,ex283_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first_onehot,1213,38,46094,3168,14.549874,35670,10424,0,prefix_parity_reduce_top4_first_onehot,transform=prefix_parity_reduce; outer_bits=0:14:1:13; inner_bits=2:3:4:5:6:7:8:9:10:11:12; class_encoding=first; outer_states=16; class_count=14; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15; mux_style=onehot; old_group_bdd_nodes=5966; unique_group_bdd_nodes=5214; group_bdd_nodes=365:366:369:370:376:368:370:373:373:376:376:379:382:371; hash=a1f97d297e18,unknown canonical prefix-key cofactor-BDD Verilog seed
ex284,ex284_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_top4_first_onehot,1354,37,50098,4240,11.815566,46908,3190,0,prefix_parity_reduce_top4_first_onehot,transform=prefix_parity_reduce; outer_bits=0:15:1:14; inner_bits=2:3:4:5:6:7:8:9:10:11:12:13; class_encoding=first; outer_states=16; class_count=14; unique_reps=0:1:2:3:4:5:6:7:8:9:11:12:13:15; rep_by_outer=0:1:2:3:4:5:6:7:8:9:8:11:12:13:12:15; mux_style=onehot; old_group_bdd_nodes=7070; unique_group_bdd_nodes=6180; group_bdd_nodes=434:435:438:439:445:437:439:442:442:445:445:448:451:440; hash=94387ade039d,unknown canonical prefix-key cofactor-BDD Verilog seed
