case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.270,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d11.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.257,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d15,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d15.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.256,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d9.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d11.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d13.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.212,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d15.aig,1,1,1,90,14,1260,657,1.917808,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d15
