case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,notes
ex267,ex267_udiv_denom_split_threshold_direct_synth_preset,unsigned low6_high6:a/b dbz=max,denom_split_threshold_direct+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_synth_preset.aig,324,33,10692,2651,4.033195,0,0,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
ex268,ex268_udiv_denom_split_threshold_direct_synth_preset,unsigned low7_high7:a/b dbz=max,denom_split_threshold_direct+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_synth_preset.aig,703,39,27417,7446,3.682111,0,0,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
ex269,ex269_udiv_denom_split_threshold_direct_synth_preset,unsigned low8_high8:a/b dbz=max,denom_split_threshold_direct+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_synth_preset.aig,902,61,55022,11760,4.678741,0,0,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
