case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_threshold_desc_guarded_abc_g_aig,unsigned low6_high6:a/b dbz=max,threshold_desc_guarded+abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_threshold_desc_guarded.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_abc_g_aig.aig,1,1,1,1853,76,140828,2651,53.122595,0,0,2.305,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex267,ex267_udiv_threshold_desc_guarded_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,threshold_desc_guarded+wreduce_abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_threshold_desc_guarded.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,1,1,1,1697,77,130669,2651,49.290456,0,0,1.523,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex267,ex267_udiv_threshold_desc_guarded_synth_preset,unsigned low6_high6:a/b dbz=max,threshold_desc_guarded+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_threshold_desc_guarded.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_synth_preset.aig,1,1,1,1367,78,106626,2651,40.221049,0,0,1.710,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex267,ex267_udiv_threshold_desc_guarded_abc_g_aig_d18,unsigned low6_high6:a/b dbz=max,threshold_desc_guarded+abc_g_aig_d18,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_threshold_desc_guarded.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_abc_g_aig_d18.aig,1,1,1,1853,76,140828,2651,53.122595,0,0,2.316,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig_d18
ex267,ex267_udiv_denom_split_threshold_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_split_threshold_direct+abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_abc_g_aig.aig,1,1,1,358,35,12530,2651,4.726518,0,0,0.473,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig
ex267,ex267_udiv_denom_split_threshold_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_split_threshold_direct+wreduce_abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_wreduce_abc_g_aig.aig,1,1,1,337,35,11795,2651,4.449264,0,0,0.423,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_split_threshold_direct_synth_preset,unsigned low6_high6:a/b dbz=max,denom_split_threshold_direct+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_synth_preset.aig,1,1,1,324,33,10692,2651,4.033195,0,0,0.488,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
ex267,ex267_udiv_denom_split_threshold_direct_abc_g_aig_d18,unsigned low6_high6:a/b dbz=max,denom_split_threshold_direct+abc_g_aig_d18,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_abc_g_aig_d18.aig,1,1,1,358,35,12530,2651,4.726518,0,0,0.477,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig_d18
ex267,ex267_udiv_denom_split_threshold_restoring_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_split_threshold_restoring+abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_restoring_abc_g_aig.aig,1,1,1,360,34,12240,2651,4.617126,0,0,0.437,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig
ex267,ex267_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_split_threshold_restoring+wreduce_abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig.aig,1,1,1,331,37,12247,2651,4.619766,0,0,0.403,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_split_threshold_restoring_synth_preset,unsigned low6_high6:a/b dbz=max,denom_split_threshold_restoring+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_restoring_synth_preset.aig,1,1,1,312,35,10920,2651,4.119200,0,0,0.453,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=synth_preset
ex267,ex267_udiv_denom_split_threshold_restoring_abc_g_aig_d18,unsigned low6_high6:a/b dbz=max,denom_split_threshold_restoring+abc_g_aig_d18,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_restoring_abc_g_aig_d18.aig,1,1,1,360,34,12240,2651,4.617126,0,0,0.469,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig_d18
ex268,ex268_udiv_denom_split_threshold_direct_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_threshold_direct+abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_abc_g_aig.aig,1,1,1,931,43,40033,7446,5.376444,0,0,0.891,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig
ex268,ex268_udiv_denom_split_threshold_direct_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_threshold_direct+wreduce_abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_wreduce_abc_g_aig.aig,1,1,1,732,39,28548,7446,3.834005,0,0,0.656,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=wreduce_abc_g_aig
