case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex267,ex267_udiv_threshold_desc_guarded_abc_g_aig,1,1853,76,140828,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex267,ex267_udiv_threshold_desc_guarded_wreduce_abc_g_aig,1,1697,77,130669,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex267,ex267_udiv_threshold_desc_guarded_synth_preset,1,1367,78,106626,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex267,ex267_udiv_threshold_desc_guarded_abc_g_aig_d18,1,1853,76,140828,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig_d18
ex267,ex267_udiv_denom_split_threshold_direct_abc_g_aig,1,358,35,12530,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig
ex267,ex267_udiv_denom_split_threshold_direct_wreduce_abc_g_aig,1,337,35,11795,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_split_threshold_direct_synth_preset,1,324,33,10692,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
ex267,ex267_udiv_denom_split_threshold_direct_abc_g_aig_d18,1,358,35,12530,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_direct_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig_d18
ex267,ex267_udiv_denom_split_threshold_restoring_abc_g_aig,1,360,34,12240,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_restoring_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig
ex267,ex267_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig,1,331,37,12247,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_split_threshold_restoring_synth_preset,1,312,35,10920,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_restoring_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=synth_preset
