case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,88,13,1144,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,87,16,1392,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,87,16,1392,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9,1,88,13,1144,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11,1,88,13,1144,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_abc_g_aig,1,95,14,1330,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_wreduce_abc_g_aig,1,95,14,1330,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_synth_preset_d11,1,95,15,1425,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_synth_preset_d13,1,95,15,1425,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_abc_g_aig_d9,1,95,14,1330,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_abc_g_aig_d9.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=abc_g_aig_d9
