case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.269,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig_d9,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig_d11,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_signbit+abc_g_aig,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_abc_g_aig.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_signbit+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_wreduce_abc_g_aig.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_signbit+synth_preset_d11,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_synth_preset_d11.aig,1,1,1,95,15,1425,657,2.168950,0,0,0.281,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_signbit+synth_preset_d13,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_synth_preset_d13.aig,1,1,1,95,15,1425,657,2.168950,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4_signbit+abc_g_aig_d9,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_signbit_abc_g_aig_d9.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4_signbit; flow=abc_g_aig_d9
