case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,items,runtime_sec,notes
ex285,ex285_decision_tree_greedy_abc_d20,unknown_12x12,abc_d20,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_d20.aig,1,1,1,818,17,13906,5499,2.528823,0,0,synthflow_exact,Yosys abc delay target 20,7.135,Yosys abc delay target 20
ex285,ex285_decision_tree_greedy_abc_d21,unknown_12x12,abc_d21,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_d21.aig,1,1,1,818,17,13906,5499,2.528823,0,0,synthflow_exact,Yosys abc delay target 21,7.688,Yosys abc delay target 21
ex285,ex285_decision_tree_greedy_abc_d22,unknown_12x12,abc_d22,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_d22.aig,1,1,1,818,17,13906,5499,2.528823,0,0,synthflow_exact,Yosys abc delay target 22,7.752,Yosys abc delay target 22
ex285,ex285_decision_tree_greedy_abc_d24,unknown_12x12,abc_d24,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_d24.aig,1,1,1,818,17,13906,5499,2.528823,0,0,synthflow_exact,Yosys abc delay target 24,7.068,Yosys abc delay target 24
ex285,ex285_decision_tree_greedy_abc_fast,unknown_12x12,abc_fast,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_fast.aig,1,1,1,1174,22,25828,5499,4.696854,0,0,synthflow_exact,Yosys abc fast script,6.895,Yosys abc fast script
ex285,ex285_decision_tree_greedy_abc_g_aig,unknown_12x12,abc_g_aig,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_g_aig.aig,1,1,1,807,17,13719,5499,2.494817,0,0,synthflow_exact,Yosys abc gate set aig,6.919,Yosys abc gate set aig
ex285,ex285_decision_tree_greedy_abc_g_aig_d18,unknown_12x12,abc_g_aig_d18,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_g_aig_d18.aig,1,1,1,807,17,13719,5499,2.494817,0,0,synthflow_exact,Yosys abc gate set aig delay target 18,7.224,Yosys abc gate set aig delay target 18
ex285,ex285_decision_tree_greedy_abc_g_aig_d19,unknown_12x12,abc_g_aig_d19,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_g_aig_d19.aig,1,1,1,807,17,13719,5499,2.494817,0,0,synthflow_exact,Yosys abc gate set aig delay target 19,7.104,Yosys abc gate set aig delay target 19
ex285,ex285_decision_tree_greedy_abc_g_aig_d20,unknown_12x12,abc_g_aig_d20,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_g_aig_d20.aig,1,1,1,807,17,13719,5499,2.494817,0,0,synthflow_exact,Yosys abc gate set aig delay target 20,7.703,Yosys abc gate set aig delay target 20
ex285,ex285_decision_tree_greedy_abc_g_aig_d21,unknown_12x12,abc_g_aig_d21,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_abc_g_aig_d21.aig,1,1,1,807,17,13719,5499,2.494817,0,0,synthflow_exact,Yosys abc gate set aig delay target 21,7.267,Yosys abc gate set aig delay target 21
