case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,items,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.aig,742,31,23002,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=929; direct_unique=3; residual_nodes_est=351; davio_nodes=596; hash=5c4c76c64524,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.aig,807,33,26631,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1157; direct_unique=3; residual_nodes_est=409; davio_nodes=697; hash=bb9d88d8c462,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex282/verilog/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex282/aigs/ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.aig,927,35,32445,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1397; direct_unique=3; residual_nodes_est=457; davio_nodes=778; hash=936cbdf9acde,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex283/verilog/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex283/aigs/ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.aig,1043,39,40677,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1673; direct_unique=3; residual_nodes_est=520; davio_nodes=888; hash=b7e46bf43d07,unknown layered ANF/Davio Verilog seed
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex284/verilog/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex284/aigs/ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.aig,1142,39,44538,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1961; direct_unique=3; residual_nodes_est=573; davio_nodes=978; hash=859d1c38e0e0,unknown layered ANF/Davio Verilog seed
