case,candidate_id,area,delay,adp,reference_adp,adp_ratio_to_reference,current_best_adp,delta_vs_current,beats_current,variant,items,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,742,31,23002,2415,9.524638,17220,5782,0,prefix_parity_reduce_deg1_endpoint_rev,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=929; direct_unique=3; residual_nodes_est=351; davio_nodes=596; hash=5c4c76c64524,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,807,33,26631,2336,11.400257,20592,6039,0,prefix_parity_reduce_deg1_endpoint_rev,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1157; direct_unique=3; residual_nodes_est=409; davio_nodes=697; hash=bb9d88d8c462,unknown layered ANF/Davio Verilog seed
ex282,ex282_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,927,35,32445,2704,11.998891,26635,5810,0,prefix_parity_reduce_deg1_endpoint_rev,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1397; direct_unique=3; residual_nodes_est=457; davio_nodes=778; hash=936cbdf9acde,unknown layered ANF/Davio Verilog seed
ex283,ex283_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,1043,39,40677,3168,12.839962,29785,10892,0,prefix_parity_reduce_deg1_endpoint_rev,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1673; direct_unique=3; residual_nodes_est=520; davio_nodes=888; hash=b7e46bf43d07,unknown layered ANF/Davio Verilog seed
ex284,ex284_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,1142,39,44538,4240,10.504245,38682,5856,0,prefix_parity_reduce_deg1_endpoint_rev,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1961; direct_unique=3; residual_nodes_est=573; davio_nodes=978; hash=859d1c38e0e0,unknown layered ANF/Davio Verilog seed
