case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint.aig,1,1,1,714,33,23562,0.781,transform=prefix_parity_reduce; threshold=1; order=endpoint; direct_terms=3; residual_terms=929; direct_unique=3; residual_nodes_est=345; davio_nodes=591; hash=949ac7ea1141,unknown layered ANF/Davio Verilog seed
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.aig,1,1,1,742,31,23002,0.785,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=929; direct_unique=3; residual_nodes_est=351; davio_nodes=596; hash=5c4c76c64524,unknown layered ANF/Davio Verilog seed
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg2_endpoint,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint.aig,1,1,1,1403,30,42090,0.966,transform=prefix_parity_reduce; threshold=2; order=endpoint; direct_terms=129; residual_terms=803; direct_unique=57; residual_nodes_est=331; davio_nodes=556; hash=7dccb14daae9,unknown layered ANF/Davio Verilog seed
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg2_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint_rev.aig,1,1,1,1387,28,38836,0.965,transform=prefix_parity_reduce; threshold=2; order=endpoint_rev; direct_terms=129; residual_terms=803; direct_unique=57; residual_nodes_est=345; davio_nodes=571; hash=c529d10c0aa3,unknown layered ANF/Davio Verilog seed
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg3_endpoint,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint.aig,1,1,1,2356,27,63612,1.468,transform=prefix_parity_reduce; threshold=3; order=endpoint; direct_terms=531; residual_terms=401; direct_unique=202; residual_nodes_est=205; davio_nodes=324; hash=b9ddaf6df26b,unknown layered ANF/Davio Verilog seed
ex280,ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg3_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/verilog/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex280/aigs/ex280_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint_rev.aig,1,1,1,2369,29,68701,1.456,transform=prefix_parity_reduce; threshold=3; order=endpoint_rev; direct_terms=531; residual_terms=401; direct_unique=202; residual_nodes_est=213; davio_nodes=334; hash=3c95ff9438bc,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint.aig,1,1,1,831,34,28254,1.381,transform=prefix_parity_reduce; threshold=1; order=endpoint; direct_terms=3; residual_terms=1157; direct_unique=3; residual_nodes_est=394; davio_nodes=678; hash=272410509101,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg1_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg1_endpoint_rev.aig,1,1,1,807,33,26631,1.384,transform=prefix_parity_reduce; threshold=1; order=endpoint_rev; direct_terms=3; residual_terms=1157; direct_unique=3; residual_nodes_est=409; davio_nodes=697; hash=bb9d88d8c462,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg2_endpoint,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint.aig,1,1,1,1728,33,57024,1.576,transform=prefix_parity_reduce; threshold=2; order=endpoint; direct_terms=153; residual_terms=1007; direct_unique=67; residual_nodes_est=387; davio_nodes=657; hash=df53cba916bf,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint_rev,unknown_layered_anf_davio,prefix_parity_reduce_deg2_endpoint_rev,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint_rev.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg2_endpoint_rev.aig,1,1,1,1664,31,51584,1.647,transform=prefix_parity_reduce; threshold=2; order=endpoint_rev; direct_terms=153; residual_terms=1007; direct_unique=67; residual_nodes_est=411; davio_nodes=687; hash=f45d4e689715,unknown layered ANF/Davio Verilog seed
ex281,ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint,unknown_layered_anf_davio,prefix_parity_reduce_deg3_endpoint,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/verilog/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint.v,student/work/ex280_ex284_frontend_prefix_davio_thresholds_20260608_2325/ex281/aigs/ex281_unknown_layered_anf_davio_prefix_parity_reduce_deg3_endpoint.aig,1,1,1,2833,29,82157,2.251,transform=prefix_parity_reduce; threshold=3; order=endpoint; direct_terms=654; residual_terms=506; direct_unique=246; residual_nodes_est=252; davio_nodes=404; hash=1f58cad0c414,unknown layered ANF/Davio Verilog seed
