case,active,classes,notes
ex231,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,0,candidate suitable for ex232-style exponent/mantissa nested structure
ex233,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,0 1,candidate suitable for ex232-style exponent/mantissa nested structure
ex234,8 9 10 11 12 13 14 15 16 17 18 19 20 21,0,candidate suitable for ex232-style exponent/mantissa nested structure
