case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex280,6,ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig,135,29,3915,2415,1.621118,ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig;ex280_r6_stride_roots_delay_linfact_abc_g_aig;ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig;ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic;ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary;ex280_prefix_parity_full_clamp_simplified_grouped_deg2_abc_g_aig,6,6,0,
ex281,6,ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,128,26,3328,2336,1.424658,ex281_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig;ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig;ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig;ex281_r10_kept_gf2_monomial_bank_abc_g_aig;ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic;ex281_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,6,6,0,
ex282,6,ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,158,27,4266,2704,1.577663,ex282_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig;ex282_r10_kept_gf2_monomial_bank_abc_g_aig;ex282_gf2_overlap_roots_small_roots_balanced_abc_g_aig;ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig;ex282_prefix_parity_reduce_full_clamp_grouped_deg2_abc_g_aig;ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic,6,6,0,
ex283,6,ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig,161,30,4830,3168,1.524621,ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig;ex283_gf2_overlap_roots_wide_roots_balanced_linfact_abc_g_aig;ex283_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig;ex283_r10_kept_gf2_monomial_bank_abc_g_aig;ex283_gf2_overlap_roots_mixed_roots_balanced_linfact_abc_g_aig;ex283_prefix_parity_reduce_full_clamp_simplified_basic_abc_g_aig,6,6,0,
ex284,6,ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,170,33,5610,4240,1.323113,ex284_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig;ex284_gf2_overlap_roots_wide_roots_balanced_linfact_abc_g_aig;ex284_gf2_overlap_roots_mixed_roots_balanced_linfact_abc_g_aig;ex284_gf2_overlap_roots_wide_roots_balanced_abc_g_aig;ex284_prefix_parity_full_clamp_basic_abc_g_aig;ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_basic,6,6,0,
ex285,8,ex285_r9_boundary_mask_all_boundary_optfull,781,16,12496,5499,2.272413,ex285_r9_boundary_mask_all_boundary_optfull;ex285_r7_boundary_mid_quad;ex285_r25_decision_tree_current_synth_preset;ex285_r4_current_boundary_d15;ex285_r66_paircount_original_order_tree_abc_g_aig;ex285_ubb_current_boundary_and_norm;ex285_r77_tree_route_decode_helper_boundary;ex285_r9_boundary_current_mask_optfull,8,8,0,
ex286,8,ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global_abc_g_aig,1338,15,20070,2376,8.446970,ex286_linhyb_sweep_raw_5_6_7_8_1_f11_global_abc_g_aig;ex286_linhyb_sweep_raw_1_2_3_6_f11_group_abc_g_aig;ex286_linhyb_sweep_raw_2_5_7_8_f00_global_abc_g_aig;ex286_unknown_symcof_interleave_f00_bits_0_12_1_10_onehot_group_abc_g_aig;ex286_r8_current_optfull_aig;ex286_r8_lohi_band_flatten;ex286_truth_keybdd_bits_7_abc_g_aig;ex286_bdd_3o_f11_outside_in_mid_0_1_10_onehot,8,8,0,
ex287,8,ex287_orientfollow_k6_b2_b3_f11_case_direct_abc_g_aig,1593,15,23895,5782,4.132653,ex287_orientfollow_k6_b2_b3_f11_case_direct_abc_g_aig;ex287_orientfollow_k7_b2_b3_b11_f11_case_factored_abc_g_aig;ex287_orientfollow_k7_b2_b3_b11_case_factored_abc_g_aig;ex287_orientbdd_keycof_k6_b2_b3_f00_abc_g_aig;ex287_r8_edge_layer_direct_overlay;ex287_r3_sel_reorder_0312_case;ex287_r5_cell_chunk4_case;ex287_deep_k4_vector_mask_d13,8,8,0,
ex288,8,ex288_keybdd_selected_controlled_routing_abc_g_aig,2257,14,31598,16394,1.927412,ex288_keybdd_selected_controlled_routing_abc_g_aig;ex288_r75_keybdd_symcof_edge_bits;ex288_r4_current_keybdd_d13;ex288_uc_onehot_boundary_0_1_13_14;ex288_r85_keybdd_loww2_center_6_8;ex288_unknown_symmetry_cofactor_classonehot_interleave_f10_k6_abc_g_aig;ex288_r71_onehot_boundary_bypass_abc_g_aig;ex288_interleave_f10_k4_case_abc_g_aig,8,8,0,
ex289,6,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2,1047,19,19893,13620,1.460573,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2;ex289_split2_f00_bits_0_1_12_13_onehot_group_abc_g_aig;ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_case_group_abc_g_aig;ex289_r7_split2_case_edge_overlay;ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_synth_preset;ex289_split2_f00_bits_0_1_12_13_onehot_group_synth_preset,6,6,0,
